"","lon","lat","year","SST"
"112",-166.5,62.5,"1975",-1.79749953746796
"113",-165.5,62.5,"1975",-1.79249954223633
"114",-180.5,61.5,"1975",-1.6274995803833
"115",-179.5,61.5,"1975",-1.74499952793121
"116",-178.5,61.5,"1975",-1.37999951839447
"117",-177.5,61.5,"1975",-1.29749953746796
"118",-176.5,61.5,"1975",-1.39249956607819
"119",-175.5,61.5,"1975",-1.68749952316284
"120",-174.5,61.5,"1975",-1.74749958515167
"121",-173.5,61.5,"1975",-1.71749949455261
"122",-172.5,61.5,"1975",-1.67999958992004
"123",-171.5,61.5,"1975",-1.74249958992004
"124",-170.5,61.5,"1975",-1.78249955177307
"125",-169.5,61.5,"1975",-1.78999948501587
"126",-168.5,61.5,"1975",-1.78499948978424
"127",-167.5,61.5,"1975",-1.79249954223633
"128",-166.5,61.5,"1975",-1.79249954223633
"129",-180.5,60.5,"1975",-0.549999535083771
"130",-179.5,60.5,"1975",-0.4124995470047
"131",-178.5,60.5,"1975",-0.377499550580978
"132",-177.5,60.5,"1975",-0.524999558925629
"133",-176.5,60.5,"1975",-0.837499558925629
"134",-175.5,60.5,"1975",-1.13249957561493
"135",-174.5,60.5,"1975",-1.31249952316284
"136",-173.5,60.5,"1975",-1.37499952316284
"137",-172.5,60.5,"1975",-1.52499949932098
"138",-171.5,60.5,"1975",-1.75749957561493
"139",-170.5,60.5,"1975",-1.7249995470047
"140",-169.5,60.5,"1975",-1.68749952316284
"141",-168.5,60.5,"1975",-1.6899995803833
"142",-167.5,60.5,"1975",-1.79249954223633
"143",-166.5,60.5,"1975",-1.79999959468842
"144",-165.5,60.5,"1975",-1.79499959945679
"145",-180.5,59.5,"1975",0.365000456571579
"146",-179.5,59.5,"1975",0.330000460147858
"147",-178.5,59.5,"1975",0.19500045478344
"148",-177.5,59.5,"1975",0.0275004580616951
"149",-176.5,59.5,"1975",-0.864999532699585
"150",-175.5,59.5,"1975",-0.534999549388885
"151",-174.5,59.5,"1975",-0.364999532699585
"152",-173.5,59.5,"1975",-0.417499542236328
"153",-172.5,59.5,"1975",-0.744999527931213
"154",-171.5,59.5,"1975",-1.21249949932098
"155",-170.5,59.5,"1975",-1.20249950885773
"156",-169.5,59.5,"1975",-1.18249952793121
"157",-168.5,59.5,"1975",-1.42749953269958
"158",-167.5,59.5,"1975",-1.79249954223633
"159",-166.5,59.5,"1975",-1.79999959468842
"160",-165.5,59.5,"1975",-1.79999959468842
"161",-164.5,59.5,"1975",-1.79999959468842
"162",-163.5,59.5,"1975",-1.78499948978424
"163",-162.5,59.5,"1975",-1.5999995470047
"164",-180.5,58.5,"1975",1.04000043869019
"165",-179.5,58.5,"1975",0.967500448226929
"166",-178.5,58.5,"1975",0.940000474452972
"167",-177.5,58.5,"1975",0.772500455379486
"168",-176.5,58.5,"1975",0.700000464916229
"169",-175.5,58.5,"1975",0.530000448226929
"170",-174.5,58.5,"1975",0.340000450611115
"171",-173.5,58.5,"1975",0.0800004601478577
"172",-172.5,58.5,"1975",-0.15749953687191
"173",-171.5,58.5,"1975",-0.307499527931213
"174",-170.5,58.5,"1975",-0.2874995470047
"175",-169.5,58.5,"1975",-0.432499527931213
"176",-168.5,58.5,"1975",-0.894999563694
"177",-167.5,58.5,"1975",-1.27249956130981
"178",-166.5,58.5,"1975",-1.74499952793121
"179",-165.5,58.5,"1975",-1.79749953746796
"180",-164.5,58.5,"1975",-1.79749953746796
"181",-163.5,58.5,"1975",-1.02249956130981
"182",-162.5,58.5,"1975",-1.46249949932098
"183",-161.5,58.5,"1975",-1.7599995136261
"184",-160.5,58.5,"1975",-1.79999959468842
"185",-159.5,58.5,"1975",-1.79999959468842
"186",-158.5,58.5,"1975",-1.79999959468842
"187",-157.5,58.5,"1975",-1.76999950408936
"188",-180.5,57.5,"1975",1.59500050544739
"189",-179.5,57.5,"1975",1.51750040054321
"190",-178.5,57.5,"1975",1.39500045776367
"191",-177.5,57.5,"1975",1.35500049591064
"192",-176.5,57.5,"1975",1.32000041007996
"193",-175.5,57.5,"1975",1.23750042915344
"194",-174.5,57.5,"1975",1.08000040054321
"195",-173.5,57.5,"1975",0.892500460147858
"196",-172.5,57.5,"1975",0.450000464916229
"197",-171.5,57.5,"1975",0.675000429153442
"198",-170.5,57.5,"1975",0.675000429153442
"199",-169.5,57.5,"1975",0.567500472068787
"200",-168.5,57.5,"1975",0.450000464916229
"201",-167.5,57.5,"1975",0.19500045478344
"202",-166.5,57.5,"1975",0.112500458955765
"203",-165.5,57.5,"1975",0.0925004556775093
"204",-164.5,57.5,"1975",-0.022499542683363
"205",-163.5,57.5,"1975",-1.73999953269958
"206",-162.5,57.5,"1975",-1.35499954223633
"207",-161.5,57.5,"1975",-1.79249954223633
"208",-160.5,57.5,"1975",-1.79999959468842
"209",-159.5,57.5,"1975",-1.79999959468842
"210",-158.5,57.5,"1975",-0.977499544620514
"211",-180.5,56.5,"1975",1.96750044822693
"212",-179.5,56.5,"1975",1.83500051498413
"213",-178.5,56.5,"1975",1.9625004529953
"214",-177.5,56.5,"1975",1.8650004863739
"215",-176.5,56.5,"1975",1.84000051021576
"216",-175.5,56.5,"1975",1.85250043869019
"217",-174.5,56.5,"1975",1.82250046730042
"218",-173.5,56.5,"1975",1.77000045776367
"219",-172.5,56.5,"1975",1.82500040531158
"220",-171.5,56.5,"1975",1.75000047683716
"221",-170.5,56.5,"1975",1.70250046253204
"222",-169.5,56.5,"1975",1.70250046253204
"223",-168.5,56.5,"1975",1.60250043869019
"224",-167.5,56.5,"1975",1.5250004529953
"225",-166.5,56.5,"1975",1.42250049114227
"226",-165.5,56.5,"1975",1.48750042915344
"227",-164.5,56.5,"1975",1.43250048160553
"228",-163.5,56.5,"1975",1.46750044822693
"229",-162.5,56.5,"1975",1.01250040531158
"230",-161.5,56.5,"1975",-1.47749948501587
"231",-160.5,56.5,"1975",-1.79999959468842
"232",-157.5,56.5,"1975",0.652500450611115
"233",-180.5,55.5,"1975",2.21250057220459
"234",-179.5,55.5,"1975",2.1850004196167
"235",-178.5,55.5,"1975",2.51250052452087
"236",-177.5,55.5,"1975",2.35000038146973
"237",-176.5,55.5,"1975",2.35500049591064
"238",-175.5,55.5,"1975",2.39500045776367
"239",-174.5,55.5,"1975",2.41000056266785
"240",-173.5,55.5,"1975",2.47000050544739
"241",-172.5,55.5,"1975",2.43000054359436
"242",-171.5,55.5,"1975",2.41000056266785
"243",-170.5,55.5,"1975",2.47250056266785
"244",-169.5,55.5,"1975",2.56750059127808
"245",-168.5,55.5,"1975",2.64750051498413
"246",-167.5,55.5,"1975",2.63000059127808
"247",-166.5,55.5,"1975",2.65750050544739
"248",-165.5,55.5,"1975",2.60250067710876
"249",-164.5,55.5,"1975",2.56000065803528
"250",-163.5,55.5,"1975",2.45750045776367
"251",-162.5,55.5,"1975",2.22500038146973
"252",-161.5,55.5,"1975",0.585000455379486
"253",-160.5,55.5,"1975",1.81750047206879
"254",-159.5,55.5,"1975",1.86250042915344
"255",-158.5,55.5,"1975",1.70750045776367
"256",-157.5,55.5,"1975",1.65250051021576
"257",-180.5,54.5,"1975",2.63000059127808
"258",-179.5,54.5,"1975",2.89250063896179
"259",-178.5,54.5,"1975",2.64750051498413
"260",-177.5,54.5,"1975",2.62500071525574
"261",-176.5,54.5,"1975",2.7325005531311
"262",-175.5,54.5,"1975",2.75750064849854
"263",-174.5,54.5,"1975",2.77250051498413
"264",-173.5,54.5,"1975",2.80000066757202
"265",-172.5,54.5,"1975",2.73500061035156
"266",-171.5,54.5,"1975",2.81250071525574
"267",-170.5,54.5,"1975",2.97250056266785
"268",-169.5,54.5,"1975",3.11750054359436
"269",-168.5,54.5,"1975",3.19000053405762
"270",-167.5,54.5,"1975",3.24250054359436
"271",-166.5,54.5,"1975",3.28250050544739
"272",-165.5,54.5,"1975",3.36750054359436
"273",-164.5,54.5,"1975",3.39250063896179
"274",-163.5,54.5,"1975",3.37500071525574
"275",-162.5,54.5,"1975",3.29750061035156
"276",-161.5,54.5,"1975",3.21750068664551
"277",-160.5,54.5,"1975",3.08000063896179
"278",-159.5,54.5,"1975",2.89500069618225
"279",-158.5,54.5,"1975",2.70250058174133
"280",-157.5,54.5,"1975",2.55750036239624
"281",-180.5,53.5,"1975",3.10500049591064
"282",-179.5,53.5,"1975",2.91000056266785
"283",-178.5,53.5,"1975",2.83750057220459
"284",-177.5,53.5,"1975",2.93500065803528
"285",-176.5,53.5,"1975",3.02000069618225
"286",-175.5,53.5,"1975",3.00000071525574
"287",-174.5,53.5,"1975",3.04250049591064
"288",-173.5,53.5,"1975",3.09250068664551
