"","lon","lat","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"11712",-168.5,57.5,0.727500438690186,0.290000468492508,1.66500043869019,1.59500050544739,2.1850004196167,0.612500429153442,1.75000047683716,2.11000037193298,1.4000004529953,0.665000438690186,2.25750041007996,1.64750051498413,2.10000038146973,2.27250051498413,2.96250057220459,1.82250046730042,0.5875004529953,1.79250049591064,1.59500050544739,2.43000054359436,1.07250046730042,2.22500038146973,1.23500049114227,0.687500476837158,2.04750037193298,2.59000062942505,3.23000049591064,0.910000443458557,2.4275004863739,2.1075005531311,2.86250066757202,2.0600004196167,3.09750056266785,0.982500433921814,0.887500464916229,0.527500450611115,2.41000056266785,-0.107499539852142,1.00000047683716,2.18750047683716,1.98500049114227,2.98750066757202,2.35500049591064,2.75000071525574,2.73000049591064,1.90500044822693
"11713",-167.5,57.5,0.522500455379486,0.00250045768916607,1.6225004196167,1.56750047206879,2.01750040054321,0.162500455975533,1.62500047683716,1.97750043869019,1.26000046730042,0.467500448226929,2.16250038146973,1.57750046253204,1.99500048160553,2.15500044822693,2.72750067710876,1.62500047683716,0.492500454187393,1.48000049591064,1.61750042438507,2.32000041007996,1.14750051498413,2.00750041007996,1.17500042915344,0.350000470876694,1.81500041484833,2.40250039100647,3.04000067710876,0.8375004529953,2.43250036239624,2.08500051498413,2.7325005531311,1.97000050544739,3.03000068664551,0.822500467300415,0.720000445842743,0.260000467300415,2.1925003528595,-0.167499542236328,0.792500436306,2.09000039100647,1.91250050067902,2.89000058174133,2.16750049591064,2.63500070571899,2.73750066757202,1.74250042438507
"11714",-166.5,57.5,0.37750044465065,-0.1624995470047,1.48500049114227,1.43250048160553,1.84000051021576,-0.404999554157257,1.54250049591064,1.8100004196167,1.14750051498413,0.327500462532043,2.07000041007996,1.57750046253204,1.93000042438507,2.01750040054321,2.41750049591064,1.41750049591064,0.352500468492508,1.11750042438507,1.67250049114227,2.21500039100647,1.25250041484833,1.80000042915344,1.16500043869019,-0.072499543428421,1.51750040054321,2.13750052452087,2.78750061988831,0.770000457763672,2.37750053405762,2.04250049591064,2.58250069618225,1.95500040054321,2.88500070571899,0.600000441074371,0.517500460147858,0.117500454187393,1.94500041007996,-0.0949995443224907,0.5250004529953,1.98750042915344,1.91500043869019,2.88750052452087,2.12000036239624,2.39750051498413,2.54750037193298,1.51750040054321
"11715",-165.5,57.5,0.277500450611115,-0.184999540448189,1.34250044822693,1.2750004529953,1.71750044822693,-0.514999568462372,1.48750042915344,1.65250051021576,1.18000042438507,0.332500457763672,1.9350004196167,1.65250051021576,1.88000047206879,1.91000044345856,1.97750043869019,1.26000046730042,0.222500458359718,0.782500445842743,1.73000049591064,2.10000038146973,1.4000004529953,1.64250040054321,1.20500040054321,-0.312499552965164,1.14500045776367,1.79750049114227,2.54000043869019,0.717500448226929,2.30000042915344,2.02750039100647,2.41750049591064,1.88000047206879,2.68750071525574,0.335000455379486,0.412500470876694,0.297500461339951,1.71750044822693,0.170000463724136,0.270000457763672,1.91000044345856,1.85500049591064,2.69500064849854,1.97250044345856,2.17500042915344,2.39750051498413,1.26000046730042
"11716",-164.5,57.5,0.100000455975533,-0.307499527931213,1.19750046730042,0.970000445842743,1.65500044822693,-0.437499552965164,1.4900004863739,1.54500043392181,1.2750004529953,0.457500457763672,1.85250043869019,1.75250041484833,1.88000047206879,1.85000050067902,1.78250050544739,1.19250047206879,0.225000455975533,0.717500448226929,1.78000044822693,2.04250049591064,1.55500042438507,1.59250044822693,1.30000042915344,-0.274999529123306,0.825000464916229,1.42500042915344,2.3025004863739,0.727500438690186,2.21500039100647,2.02250051498413,2.28000044822693,1.61250042915344,2.53000044822693,0.190000459551811,0.627500474452972,0.925000429153442,1.51250040531158,0.4625004529953,0.255000472068787,1.88000047206879,1.94750046730042,2.53000044822693,1.95250046253204,2.0525004863739,2.18250036239624,1.03750050067902
"11717",-163.5,57.5,-1.66749954223633,-1.39499950408936,1.0875004529953,0.585000455379486,1.70000040531158,0.0325004570186138,1.59250044822693,1.48000049591064,1.46000051498413,0.845000445842743,1.8375004529953,1.87750041484833,1.92250049114227,1.88250041007996,1.97000050544739,1.25750041007996,0.507500469684601,1.00500047206879,1.80750048160553,2.03250050544739,1.73750042915344,1.62750041484833,1.47000050544739,0.355000466108322,0.665000438690186,1.44250047206879,2.16500043869019,0.842500448226929,2.1700005531311,2.0525004863739,2.20000052452087,1.54250049591064,2.38750052452087,0.2125004529953,1.00000047683716,1.35000050067902,1.4000004529953,0.622500479221344,0.520000457763672,1.89750051498413,1.97000050544739,2.3175003528595,2.00250053405762,1.91000044345856,2.0450005531311,1.01500046253204
"12072",-168.5,56.5,1.85000050067902,1.58000040054321,2.54250049591064,2.47000050544739,2.88500070571899,2.10250043869019,2.81250071525574,2.89250063896179,2.4425003528595,2.09750056266785,2.97000050544739,2.63000059127808,2.97750067710876,3.03750061988831,3.40750050544739,2.82250070571899,2.0525004863739,2.7325005531311,2.65500068664551,3.17250061035156,2.27500057220459,3.11750054359436,2.42250037193298,2.14500045776367,2.98750066757202,3.35500049591064,3.81750059127808,2.51500034332275,3.40750050544739,3.12750053405762,3.54250049591064,3.30000066757202,3.70000052452087,2.1150004863739,2.72250056266785,2.0600004196167,3.37000060081482,2.08500051498413,2.22750043869019,2.86500072479248,3.12250065803528,3.62750053405762,3.32750058174133,3.42750072479248,3.34250068664551,3.11750054359436
"12073",-167.5,56.5,1.78000044822693,1.37000048160553,2.52250051498413,2.46750044822693,2.78500056266785,1.95500040054321,2.74000072479248,2.78750061988831,2.3725004196167,1.9900004863739,2.96250057220459,2.59250068664551,2.9200005531311,2.96500062942505,3.36000061035156,2.65750050544739,1.99250042438507,2.52000045776367,2.67500066757202,3.11500072479248,2.29000043869019,2.98000049591064,2.3650004863739,2.04000043869019,2.8575005531311,3.34250068664551,3.6700005531311,2.47750043869019,3.39500069618225,3.09500050544739,3.48000049591064,3.32500052452087,3.66250061988831,2.03500056266785,2.65250062942505,1.97500050067902,3.21750068664551,2.08750057220459,2.1300003528595,2.79750061035156,2.99250054359436,3.64750051498413,3.26750063896179,3.1075005531311,3.17500066757202,2.81500053405762
"12074",-166.5,56.5,1.64250040054321,1.17000043392181,2.45250034332275,2.33000040054321,2.66250061988831,1.84750044345856,2.62500071525574,2.64000058174133,2.32000041007996,1.91000044345856,2.91250061988831,2.57250070571899,2.84250068664551,2.86250066757202,3.21250057220459,2.45500040054321,1.96000051498413,2.34250044822693,2.67750072479248,3.01000070571899,2.33250045776367,2.84000062942505,2.33250045776367,1.93250048160553,2.70000052452087,3.21000051498413,3.46750068664551,2.4275004863739,3.32250070571899,3.05000066757202,3.3575005531311,3.32750058174133,3.52500057220459,1.95000040531158,2.56000065803528,1.94500041007996,3.04250049591064,2.10250043869019,2.05000042915344,2.72500061988831,2.93750071525574,3.67750072479248,3.38500070571899,2.81000065803528,2.99250054359436,2.62000060081482
"12075",-165.5,56.5,1.60250043869019,1.22500050067902,2.37500047683716,2.13750052452087,2.58500051498413,1.76500046253204,2.56500053405762,2.51500034332275,2.29250049591064,1.9350004196167,2.87000060081482,2.57750058174133,2.81000065803528,2.77750062942505,3.08500051498413,2.30750036239624,1.94250047206879,2.18750047683716,2.67750072479248,2.92250061035156,2.39250040054321,2.70000052452087,2.32250046730042,1.87750041484833,2.5525004863739,3.06000065803528,3.27500057220459,2.39500045776367,3.24250054359436,3.00000071525574,3.2325005531311,3.2950005531311,3.36750054359436,1.87750041484833,2.54750037193298,1.99250042438507,2.88750052452087,2.17250037193298,2.01250052452087,2.65000057220459,2.93000054359436,3.62750053405762,3.23000049591064,2.58500051498413,2.87000060081482,2.3725004196167
"12076",-164.5,56.5,1.50250041484833,1.22750043869019,2.28500056266785,1.85250043869019,2.53250050544739,1.79250049591064,2.56250071525574,2.44000053405762,2.28750038146973,2.03500056266785,2.83000063896179,2.60250067710876,2.78750061988831,2.73000049591064,3.00750064849854,2.26000046730042,2.01750040054321,2.14000034332275,2.66750049591064,2.87500071525574,2.47500038146973,2.63750052452087,2.36750054359436,1.93750047683716,2.46000051498413,2.94250059127808,3.07000064849854,2.41250038146973,3.13750052452087,2.95750069618225,3.12000060081482,3.29000067710876,3.22000050544739,1.85750043392181,2.59000062942505,2.11750054359436,2.77250051498413,2.28500056266785,2.0525004863739,2.62000060081482,2.88500070571899,3.52000069618225,3.21500062942505,2.4825005531311,2.63000059127808,2.35500049591064
"12077",-163.5,56.5,1.45500040054321,1.20000040531158,2.22250056266785,1.60250043869019,2.55000042915344,1.9625004529953,2.58000063896179,2.42250037193298,2.3725004196167,2.23500037193298,2.83750057220459,2.67750072479248,2.80250072479248,2.74250054359436,2.96750068664551,2.2950005531311,2.19500041007996,2.2325005531311,2.70000052452087,2.85500049591064,2.59250068664551,2.63250064849854,2.47750043869019,2.14000034332275,2.4275004863739,2.83500051498413,2.96000051498413,2.49250054359436,3.08500051498413,2.92500066757202,3.05750060081482,3.30750060081482,3.08750057220459,1.94000041484833,2.64750051498413,2.3025004863739,2.73500061035156,2.40500044822693,2.1925003528595,2.64750051498413,2.99500060081482,3.50250053405762,3.27000069618225,2.48750042915344,2.63250064849854,2.53000044822693
"12432",-168.5,55.5,2.83000063896179,2.69250059127808,3.21750068664551,3.06750059127808,3.53250050544739,3.14000058174133,3.54000067710876,3.47750067710876,3.20500063896179,3.21250057220459,3.66500067710876,3.38750052452087,3.53250050544739,3.56250071525574,3.57750058174133,3.30750060081482,3.00750064849854,3.41750049591064,3.41500067710876,3.72750067710876,2.99250054359436,3.77000069618225,3.34250068664551,3.21000051498413,3.62750053405762,3.58000063896179,4.20500040054321,3.50250053405762,4.1075005531311,3.75000071525574,3.97750067710876,3.92250061035156,3.86750054359436,2.95000052452087,3.57250070571899,3.10500049591064,3.86000061035156,3.09250068664551,3.12750053405762,3.35000061988831,4.01000070571899,3.95750069618225,4.05250072479248,4.01500082015991,3.7950005531311,3.59000062942505
"12433",-167.5,55.5,2.8575005531311,2.67500066757202,3.27000069618225,3.09000062942505,3.50250053405762,3.05750060081482,3.46000051498413,3.38250064849854,3.16750049591064,3.15750050544739,3.71500062942505,3.38000059127808,3.51500058174133,3.55250072479248,3.51500058174133,3.22500061988831,3.03000068664551,3.2950005531311,3.46000051498413,3.71750068664551,3.03750061988831,3.68000054359436,3.30000066757202,3.12000060081482,3.57500052452087,3.61750054359436,4.14500045776367,3.47750067710876,4.10000038146973,3.76250052452087,3.94250059127808,3.95750069618225,3.85500049591064,2.94250059127808,3.56250071525574,3.09000062942505,3.79750061035156,3.10500049591064,3.08500051498413,3.33000063896179,4.0600004196167,4.10000038146973,3.97250056266785,3.77250051498413,3.75250053405762,3.36500072479248
"12434",-166.5,55.5,2.86750054359436,2.65000057220459,3.26000070571899,3.01000070571899,3.40750050544739,2.95750069618225,3.41500067710876,3.31500053405762,3.11500072479248,3.11500072479248,3.68500065803528,3.34000062942505,3.50750064849854,3.50250053405762,3.48500061035156,3.12500071525574,3.02750062942505,3.1700005531311,3.46250057220459,3.68500065803528,3.05750060081482,3.54750061035156,3.24500060081482,3.02750062942505,3.50000071525574,3.57500052452087,4.0450005531311,3.42750072479248,4.03750038146973,3.70250058174133,3.85250067710876,3.95000052452087,3.78750061988831,2.9200005531311,3.5450005531311,3.03500056266785,3.70250058174133,3.06250071525574,3.04250049591064,3.28500056266785,4.00500059127808,4.1700005531311,4.08500051498413,3.4825005531311,3.54750061035156,3.25000071525574
"12435",-165.5,55.5,2.79750061035156,2.59750056266785,3.21250057220459,2.81750059127808,3.37250065803528,2.87500071525574,3.35250067710876,3.26750063896179,3.07000064849854,3.13500070571899,3.69250059127808,3.31750059127808,3.51250052452087,3.4825005531311,3.46000051498413,3.04000067710876,3.04250049591064,3.1075005531311,3.45000052452087,3.60500049591064,3.09750056266785,3.44750070571899,3.17750072479248,2.9825005531311,3.42750072479248,3.51750063896179,3.90500068664551,3.42250061035156,3.97500061988831,3.64500069618225,3.77250051498413,3.95500063896179,3.69500064849854,2.92250061035156,3.51500058174133,3.02000069618225,3.61500072479248,3.05750060081482,3.05250072479248,3.28250050544739,3.96750068664551,4.40000057220459,4.03750038146973,3.32000064849854,3.59750056266785,3.11250066757202
