"","salinity","temperature","dist","year","lon","lat","doy","bottom_depth","pred","con.sum"
"1",31.86506,5.47938494031221,0.0226612581185155,2005,-166.03398,56.30985,137,89,5.94245525477761,5.94245525477761
"2",31.86506,5.37864674012855,0.0533048244570555,2005,-166.03398,56.30985,137,89,5.93956348272916,11.8820187375068
"3",31.90032,5.37864674012855,0.0351359480888059,2005,-166.03398,56.30985,137,89,5.93821751929785,17.8202362568046
"4",31.90032,5.47938494031221,0.0464656449545909,2005,-166.03398,56.30985,137,89,5.93736977231352,23.7576060291181
"5",31.8298,5.47938494031221,0.0105960337757952,2005,-166.03398,56.30985,137,89,5.93539637385738,29.6930024029755
"6",31.86506,5.58012314049586,0.0463848867386048,2005,-166.03398,56.30985,137,89,5.93250582181688,35.6255082247924
"7",31.8298,5.58012314049586,0.0129053452465942,2005,-166.03398,56.30985,137,89,5.92900522365365,41.554513448446
"8",31.8298,5.37864674012855,0.0263111241844384,2005,-166.03398,56.30985,137,89,5.9288721769029,47.4833856253489
"9",31.93558,5.37864674012855,0.0395602984283279,2005,-166.03398,56.30985,137,89,5.92666510571959,53.4100507310685
"10",31.90032,5.2779085399449,0.0209161661428118,2005,-166.03398,56.30985,137,89,5.9262874025108,59.3363381335793
"11",31.90032,5.58012314049586,0.0544404357492946,2005,-166.03398,56.30985,137,89,5.92379441824957,65.2601325518289
"12",31.86506,5.2779085399449,0.0045936429688962,2005,-166.03398,56.30985,137,89,5.92378984970258,71.1839224015315
"13",31.93558,5.47938494031221,0.0287701885654833,2005,-166.03398,56.30985,137,89,5.9220243687213,77.1059467702528
"14",31.93558,5.2779085399449,0.0315655983128353,2005,-166.03398,56.30985,137,89,5.91865980056335,83.0246065708161
"15",31.79454,5.47938494031221,0.00258623339099334,2005,-166.03398,56.30985,137,89,5.91703063247701,88.9416372032931
"16",31.79454,5.58012314049586,0.0231206654488133,2005,-166.03398,56.30985,137,89,5.91409460496059,94.8557318082537
"17",31.86506,5.68086134067952,0.0467291426644177,2005,-166.03398,56.30985,137,89,5.91017264831231,100.765904456566
"18",31.8298,5.68086134067952,0.0380039993470547,2005,-166.03398,56.30985,137,89,5.91015880943808,106.676063266004
"19",31.8298,5.2779085399449,0.0376372705910632,2005,-166.03398,56.30985,137,89,5.90939996061233,112.585463226616
"20",31.97084,5.37864674012855,0.0467124279587801,2005,-166.03398,56.30985,137,89,5.90709906182212,118.492562288439
"21",31.79454,5.37864674012855,0.0320886491036966,2005,-166.03398,56.30985,137,89,5.90701466402806,124.399576952467
"22",31.93558,5.58012314049586,0.0533359941157371,2005,-166.03398,56.30985,137,89,5.90479871809954,130.304375670566
"23",31.97084,5.2779085399449,0.0444093624090298,2005,-166.03398,56.30985,137,89,5.90303193145139,136.207407602018
