"","lon","lat","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"7380",-180.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7381",-179.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7382",-178.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7383",-177.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79749953746796
"7384",-176.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7385",-175.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7386",-174.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.78249955177307,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7387",-173.5,69.5,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.78249955177307,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7388",-172.5,69.5,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.7874995470047,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842
"7389",-171.5,69.5,-1.79999959468842,-1.78999948501587,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79749953746796,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.78499948978424,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.79749953746796,-1.79999959468842,-1.79999959468842
