"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"21","3TT05","64",2,"2005-05-21 20:22","3TT05 64 2 60BON 1",13.20981,20.32279,2005,5,61.7345,-173.85417,141,49.20584,75,"3TT05_61.7345_-173.85417_2005-05-21 20:22_333",1,283,"5/21/2005",249168
"24","3MF06","28",2,"2006-05-12 20:10","3MF06 28 2 60BON 1",0,0,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_2006-05-12 20:10_505",0,442,"5/12/2006",242629
"25","3DY08","37",2,"2008-05-17 4:38","3DY08 37 2 60BON 1",0,0,2008,5,56.08417,-163.58566,137,114.18797,91,"3DY08_56.08417_-163.58566_2008-05-17 4:38_335",0,331,"5/17/2008",227649
"26","3TT05","1",2,"2005-05-16 2:40","3TT05 1 2 60BON 1",0,0,2005,5,57.32784,-169.922,136,90.4128,58,"3TT05_57.32784_-169.922_2005-05-16 2:40_333",0,283,"5/16/2005",249168
"27","3MF06","76",2,"2006-05-17 9:11","3MF06 76 2 60BON 1",36.13668,57.3598,2006,5,56.56167,-162.01817,137,122.03668,72,"3MF06_56.56167_-162.01817_2006-05-17 9:11_505",7,442,"5/17/2006",242629
"28","3MF06","83",2,"2006-05-18 0:08","3MF06 83 2 60BON 2",466.83606,765.30502,2006,5,56.58217,-161.00717,138,125.44018,71,"3MF06_56.58217_-161.00717_2006-05-18 0:08_505",96,442,"5/18/2006",242629
"30","3MF06","22",2,"2006-05-12 2:53","3MF06 22 2 60BON 1",0,0,2006,5,54.013,-166.60117,132,104.74217,73,"3MF06_54.013_-166.60117_2006-05-12 2:53_505",0,442,"5/12/2006",242629
"31","3MF06","25",2,"2006-05-12 11:21","3MF06 25 2 60BON 1",0,0,2006,5,54.57167,-166.6315,132,365.78976,419,"3MF06_54.57167_-166.6315_2006-05-12 11:21_505",0,442,"5/12/2006",242629
"35","3DY08","48",2,"2008-05-19 11:05","3DY08 48 2 60BON 1",0,0,2008,5,55.92517,-164.35217,139,149.0491,95,"3DY08_55.92517_-164.35217_2008-05-19 11:05_335",0,331,"5/19/2008",227649
"38","3DY09","69",2,"2009-05-15 22:15","3DY09 69 2 60BON 1",0,0,2009,5,55.369,-165.90067,135,195.95366,121,"3DY09_55.369_-165.90067_2009-05-15 22:15_505",0,311,"5/15/2009",225280
"39","3DY08","6",2,"2008-05-13 14:21","3DY08 6 2 60BON 1",1598.20559,532.7352,2008,5,54.56933,-166.62633,133,542.4834,420,"3DY08_54.56933_-166.62633_2008-05-13 14:21_335",289,331,"5/13/2008",227649
"40","4MF94","147",4,"1994-04-28 23:04","4MF94 147 4 60BON 1",0,0,1994,4,54.1,-166.23171,118,120.4607,80,"4MF94_54.1_-166.23171_1994-04-28 23:04_333",0,158,"4/28/1994",261909
"41","4MF94","148",2,"1994-04-29 1:06","4MF94 148 2 60BON 1",0,0,1994,4,54.175,-166.2867,119,255.905,165,"4MF94_54.175_-166.2867_1994-04-29 1:06_333",0,158,"4/29/1994",261909
