"","salinity","temperature","dist","year","lon","lat","doy","bottom_depth","pred","con.sum"
"1",30.9630999081726,5.2779085399449,0.196594435534055,2005,-165.47116,56.59,138,78,3.17871425787772,3.17871425787772
"2",30.994322405877,5.2779085399449,0.211311187160749,2005,-165.47116,56.59,138,78,3.17800060424069,6.35671486211842
"3",30.9318774104683,5.2779085399449,0.165501127275626,2005,-165.47116,56.59,138,78,3.17655213447397,9.53326699659238
"4",30.9630999081726,5.17717033976125,0.228254352483938,2005,-165.47116,56.59,138,78,3.17469610439848,12.7079631009909
"5",31.0255449035813,5.2779085399449,0.181427659455282,2005,-165.47116,56.59,138,78,3.17433927913688,15.8823023801277
"6",30.994322405877,5.17717033976125,0.201492532277651,2005,-165.47116,56.59,138,78,3.17418955607469,19.0564919362024
"7",30.9318774104683,5.17717033976125,0.202092306816492,2005,-165.47116,56.59,138,78,3.17238648152314,22.2288784177256
"8",30.900654912764,5.2779085399449,0.134467702076909,2005,-165.47116,56.59,138,78,3.17158612845546,25.400464546181
"9",30.9630999081726,5.37864674012855,0.180140158418367,2005,-165.47116,56.59,138,78,3.17145029501026,28.5719148411913
"10",31.0255449035813,5.17717033976125,0.171728490369358,2005,-165.47116,56.59,138,78,3.17079643227176,31.7427112734631
"11",30.994322405877,5.37864674012855,0.152331128140868,2005,-165.47116,56.59,138,78,3.17060090602174,34.9133121794848
"12",30.9318774104683,5.37864674012855,0.1850305805457,2005,-165.47116,56.59,138,78,3.1693755658304,38.0826877453152
"13",31.0567674012856,5.2779085399449,0.152083076433082,2005,-165.47116,56.59,138,78,3.16765838814024,41.2503461334554
"14",30.900654912764,5.17717033976125,0.17757319687034,2005,-165.47116,56.59,138,78,3.16733109172864,44.4176772251841
"15",31.0255449035813,5.37864674012855,0.126129922112625,2005,-165.47116,56.59,138,78,3.16675429591063,47.5844315210947
"16",30.900654912764,5.37864674012855,0.15788367714688,2005,-165.47116,56.59,138,78,3.16444982143637,50.7488813425311
"17",31.0567674012856,5.17717033976125,0.14258961032,2005,-165.47116,56.59,138,78,3.16444632870974,53.9133276712408
"18",30.8694324150597,5.2779085399449,0.10354801494948,2005,-165.47116,56.59,138,78,3.16388813424821,57.077215805489
"19",30.9630999081726,5.07643213957759,0.227095641730548,2005,-165.47116,56.59,138,78,3.16017462129981,60.2373904267889
"20",30.994322405877,5.07643213957759,0.195907500018342,2005,-165.47116,56.59,138,78,3.15994110205904,63.3973315288479
"21",31.0567674012856,5.37864674012855,0.102773686463979,2005,-165.47116,56.59,138,78,3.15983736172272,66.5571688905706
"22",30.8694324150597,5.17717033976125,0.155476264249196,2005,-165.47116,56.59,138,78,3.15960033929495,69.7167692298656
"23",31.0879898989899,5.2779085399449,0.123661705410654,2005,-165.47116,56.59,138,78,3.15788603682477,72.8746552666903
"24",31.0255449035813,5.07643213957759,0.16473237495907,2005,-165.47116,56.59,138,78,3.15689265207796,76.0315479187683
"25",30.8694324150597,5.37864674012855,0.13254389464458,2005,-165.47116,56.59,138,78,3.15674616478238,79.1882940835507
"26",31.0879898989899,5.17717033976125,0.114553953505203,2005,-165.47116,56.59,138,78,3.15506884110864,82.3433629246593
"27",30.8382099173554,5.2779085399449,0.0728869578450309,2005,-165.47116,56.59,138,78,3.15353004627825,85.4968929709376
"28",30.9630999081726,5.47938494031221,0.091480238075413,2005,-165.47116,56.59,138,78,3.15212542906887,88.6490184000064
"29",30.994322405877,5.47938494031221,0.0989943873930825,2005,-165.47116,56.59,138,78,3.1512171208825,91.8002355208889
"30",31.0567674012856,5.07643213957759,0.133579380450976,2005,-165.47116,56.59,138,78,3.15096061450923,94.9511961353982
"31",30.9318774104683,5.47938494031221,0.0942712464494285,2005,-165.47116,56.59,138,78,3.1500735159228,98.101269651321
"32",31.0879898989899,5.37864674012855,0.0846510055016934,2005,-165.47116,56.59,138,78,3.1497770005038,101.251046651825
"33",30.8382099173554,5.17717033976125,0.136978779264569,2005,-165.47116,56.59,138,78,3.14926462850205,104.400311280327
"34",31.0255449035813,5.47938494031221,0.104388782525777,2005,-165.47116,56.59,138,78,3.14727458583037,107.547585866157
"35",30.8382099173554,5.37864674012855,0.110264233691071,2005,-165.47116,56.59,138,78,3.14633769882263,110.69392356498
"36",30.900654912764,5.47938494031221,0.106560736585835,2005,-165.47116,56.59,138,78,3.14513538697759,113.839058951957
"37",31.1192123966942,5.2779085399449,0.0969786644504056,2005,-165.47116,56.59,138,78,3.14495033076445,116.984009282722
"38",31.1192123966942,5.17717033976125,0.088674169192202,2005,-165.47116,56.59,138,78,3.14259356518849,120.12660284791
"39",31.0879898989899,5.07643213957759,0.102468703170626,2005,-165.47116,56.59,138,78,3.14207633250555,123.268679180416
"40",30.8069874196511,5.2779085399449,0.043040847733531,2005,-165.47116,56.59,138,78,3.14058375897159,126.409262939387
"41",31.0567674012856,5.47938494031221,0.0745029616490066,2005,-165.47116,56.59,138,78,3.14022381837918,129.549486757767
"42",30.8694324150597,5.47938494031221,0.125590612635238,2005,-165.47116,56.59,138,78,3.13738504776657,132.686871805533
"43",31.1192123966942,5.37864674012855,0.0756230359169169,2005,-165.47116,56.59,138,78,3.13650010929966,135.823371914833
"44",30.8069874196511,5.17717033976125,0.123706070661585,2005,-165.47116,56.59,138,78,3.13639436362993,138.959766278463
"45",30.994322405877,4.97569393939394,0.215719495794085,2005,-165.47116,56.59,138,78,3.1360285827291,142.095794861192
"46",30.9630999081726,4.97569393939394,0.216974397027372,2005,-165.47116,56.59,138,78,3.13592859530894,145.231723456501
