"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff","domain","regime"
"800",2222,"DY14-05",29,2,"2014-05-10 5:28","DY14-05 29 2 60BON 2",5.58173,8.72146,2014,5,57.2593,-165.7518,130,114.65976,69,"DY14-05_57.2593_-165.7518_2014-05-10 5:28_505",1,521,"2014-05-10",2978000,"DY14-05_29_2",2.86619090909091,32.1605090909091,"2014-05-10","DY14-05_29_2","430",0,"Middle","Warm2"
"834",2269,"DY14-05",41,2,"2014-05-10 19:56","DY14-05 41 2 60BON 1",641.56702,1018.36035,2014,5,57.6517,-169.0227,130,131.58407,69,"DY14-05_57.6517_-169.0227_2014-05-10 19:56_505",134,521,"2014-05-10",2978000,"DY14-05_41_2",2.77911818181818,32.4366636363636,"2014-05-10","DY14-05_41_2","1956",0,"Middle","Warm2"
"912",2520,"DY14-05",44,2,"2014-05-11 2:21","DY14-05 44 2 60BON 1",95.59398,144.83936,2014,5,58.0663,-168.7283,131,117.37141,70,"DY14-05_58.0663_-168.7283_2014-05-11 2:21_505",17,521,"2014-05-11",2978000,"DY14-05_44_2",2.6328,32.3670727272727,"2014-05-11","DY14-05_44_2","221",0,"Middle","Warm2"
"916",2538,"DY14-05",57,2,"2014-05-11 20:07","DY14-05 57 2 60BON 1",0,0,2014,5,59.4373,-170.9155,131,121.68788,72,"DY14-05_59.4373_-170.9155_2014-05-11 20:07_505",0,521,"2014-05-11",2978000,"DY14-05_57_2",-0.344481818181818,31.3922818181818,"2014-05-11","DY14-05_57_2","2007",0,"Middle","Warm2"
"1066",2977,"DY14-05",63,5,"2014-05-12 5:10","DY14-05 63 5 60BON 1",0,0,2014,5,59.8897,-171.7117,132,99.26383,72,"DY14-05_59.8897_-171.7117_2014-05-12 5:10_505",0,521,"2014-05-12",2978000,"DY14-05_63_5",-0.218390909090909,31.2834,"2014-05-12","DY14-05_63_5","510",0,"Middle","Warm2"
"1357",3795,"DY14-05",55,2,"2014-05-11 17:40","DY14-05 55 2 60BON 1",0,0,2014,5,59.2485,-170.4183,131,101.18475,68,"DY14-05_59.2485_-170.4183_2014-05-11 17:40_505",0,521,"2014-05-11",2978000,"DY14-05_55_2",-0.272709090909091,31.3819363636364,"2014-05-11","DY14-05_55_2","1740",0,"Middle","Warm2"
"1358",3800,"DY14-05",59,2,"2014-05-11 22:45","DY14-05 59 2 60BON 1",0,0,2014,5,59.7188,-171.1468,131,121.7987,72,"DY14-05_59.7188_-171.1468_2014-05-11 22:45_505",0,521,"2014-05-11",2978000,"DY14-05_59_2",0.0412090909090909,31.2192090909091,"2014-05-11","DY14-05_59_2","2245",0,"Middle","Warm2"
"1360",3802,"DY14-05",64,2,"2014-05-12 6:46","DY14-05 64 2 60BON 1",0,0,2014,5,60.071,-172.0002,132,100.24889,64,"DY14-05_60.071_-172.0002_2014-05-12 6:46_505",0,521,"2014-05-12",2978000,"DY14-05_64_2",-0.0625545454545455,31.2612636363636,"2014-05-12","DY14-05_64_2","646",0,"Middle","Warm2"
"1447",4031,"DY14-05",49,2,"2014-05-11 9:29","DY14-05 49 2 60BON 1",16.38341,26.85805,2014,5,58.2835,-170.098,131,111.69837,72,"DY14-05_58.2835_-170.098_2014-05-11 9:29_505",3,521,"2014-05-11",2978000,"DY14-05_49_2",2.20084545454545,32.2767363636364,"2014-05-11","DY14-05_49_2","929",0,"Middle","Warm2"
"1523",4299,"DY14-05",51,2,"2014-05-11 12:14","DY14-05 51 2 60BON 1",5.73883,9.10925,2014,5,58.6195,-170.2747,131,109.77854,72,"DY14-05_58.6195_-170.2747_2014-05-11 12:14_505",1,521,"2014-05-11",2978000,"DY14-05_51_2",1.42043636363636,31.9879090909091,"2014-05-11","DY14-05_51_2","1214",0,"Middle","Warm2"
