"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1224","4WE97","12",2,"7/2/1997 22:24:00","4WE97 12 2 60BON 1",0,0,1997,7,55.37033,-168.17284,183,410.81448,504,"4WE97_55.37033_-168.17284_7/2/1997 22:24:00_333",0,132,"7/2/1997"
"1227","3MF79","G045A",2,"6/23/1979 10:43:00","3MF79 G045A 2 60BON 1",0,0,1979,6,56.52,-167.72501,174,139.4801,108,"3MF79_56.52_-167.72501_6/23/1979 10:43:00_505",0,85,"6/23/1979"
"1228","3MF79","G046A",2,"6/23/1979 12:37:00","3MF79 G046A 2 60BON 1",0,0,1979,6,56.755,-167.4933,174,125.25352,90,"3MF79_56.755_-167.4933_6/23/1979 12:37:00_505",0,85,"6/23/1979"
"1230","DY14-06","31",1,"5/23/2014 11:07:00","DY14-06 31 1 60BON 1",0,0,2014,5,54.9532,-164.5,143,74.13501,46,"DY14-06_54.9532_-164.5_5/23/2014 11:07:00_505",0,301,"5/23/2014"
"1231","DY14-06","72",1,"5/26/2014 4:40:00","DY14-06 72 1 60BON 1",0,0,2014,5,56.5627,-162.0235,146,111.70355,72,"DY14-06_56.5627_-162.0235_5/26/2014 4:40:00_505",0,301,"5/26/2014"
"1232","4MF03","46",2,"5/23/2003 2:12:00","4MF03 46 2 60BON 1",0,0,2003,5,55.98,-162.98666,143,204.9953,85,"4MF03_55.98_-162.98666_5/23/2003 2:12:00_505",0,88,"5/23/2003"
"1235","DY13-05","7",2,"5/3/2013 8:33:00","DY13-05 7 2 60BON 1",0,0,2013,5,54.4415,-164.9862,123,166.2103,55,"DY13-05_54.4415_-164.9862_5/3/2013 8:33:00_500",0,28,"5/3/2013"
"1237","3MF02","24",2,"5/15/2002 4:22:00","3MF02 24 2 60BON 1",0,0,2002,5,55.8885,-162.37666,135,102.08907,67,"3MF02_55.8885_-162.37666_5/15/2002 4:22:00_505",0,150,"5/15/2002"
"1238","3MF02","25",2,"5/15/2002 6:30:00","3MF02 25 2 60BON 1",0,0,2002,5,55.76817,-162.76433,135,66.22961,64,"3MF02_55.76817_-162.76433_5/15/2002 6:30:00_505",0,150,"5/15/2002"
"1243","5MF00","22",2,"5/7/2000 15:19:00","5MF00 22 2 60BON 1",0,0,2000,5,56.6835,-170.21184,127,88.04659,102,"5MF00_56.6835_-170.21184_5/7/2000 15:19:00_333",0,54,"5/7/2000"
