"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1","DY15-04","38",2,"5/2/2015 21:21:00","DY15-04 38 2 60BON 1",0,0,2015,5,57.4992,-167.353,122,118.978,71,"DY15-04_57.4992_-167.353_5/2/2015 21:21:00_505",0,93,"5/2/2015"
"2","4MF94","143",6,"4/28/1994 9:01:00","4MF94 143 6 60BON 1",9.15879,4.51172,1994,4,54.72333,-165.56329,118,221.645,251,"4MF94_54.72333_-165.56329_4/28/1994 9:01:00_333",1,145,"4/28/1994"
"6","4MF94","45",1,"4/19/1994 11:45:00","4MF94 45 1 60BON 1",0,0,1994,4,54.56667,-166.63831,109,270.49689,419,"4MF94_54.56667_-166.63831_4/19/1994 11:45:00_333",0,145,"4/19/1994"
"7","4MF07","52",3,"5/13/2007 10:18:00","4MF07 52 3 60BON 1",0,0,2007,5,56.8505,-170.28517,133,128.30444,92,"4MF07_56.8505_-170.28517_5/13/2007 10:18:00_505",0,279,"5/13/2007"
"8","4MF07","21",2,"5/10/2007 12:52:00","4MF07 21 2 60BON 1",0,0,2007,5,55.85017,-169.793,130,371.33298,1902,"4MF07_55.85017_-169.793_5/10/2007 12:52:00_505",0,279,"5/10/2007"
"9","4MF07","26",4,"5/11/2007 2:16:00","4MF07 26 4 60BON 1",0,0,2007,5,56.07367,-170.00934,131,141.37459,126,"4MF07_56.07367_-170.00934_5/11/2007 2:16:00_505",0,279,"5/11/2007"
"10","4MF94","54",1,"4/20/1994 6:28:00","4MF94 54 1 60BON 1",0,0,1994,4,53.73,-168.265,110,286.8241,1579,"4MF94_53.73_-168.265_4/20/1994 6:28:00_333",0,145,"4/20/1994"
"11","4MF94","55",1,"4/20/1994 8:49:00","4MF94 55 1 60BON 1",0,0,1994,4,53.84667,-167.8833,110,248.6497,1451,"4MF94_53.84667_-167.8833_4/20/1994 8:49:00_333",0,145,"4/20/1994"
"12","4MF07","54",2,"5/13/2007 14:18:00","4MF07 54 2 60BON 1",0,0,2007,5,56.611,-171.01784,133,162.69272,118,"4MF07_56.611_-171.01784_5/13/2007 14:18:00_505",0,279,"5/13/2007"
"17","4MF07","73",2,"5/15/2007 21:10:00","4MF07 73 2 60BON 1",0,0,2007,5,56.00917,-172.84866,135,360.9454,3120,"4MF07_56.00917_-172.84866_5/15/2007 21:10:00_505",0,279,"5/15/2007"
"20","5MF05","137",1,"5/20/2005 7:56:00","5MF05 137 1 60BON 1",7.30223,5.8889,2005,5,55.46467,-166.46516,140,169.81111,132,"5MF05_55.46467_-166.46516_5/20/2005 7:56:00_505",1,148,"5/20/2005"
"22","7MF95","23",1,"5/6/1995 12:50:00","7MF95 23 1 60BON 1",0,0,1995,5,57.06533,-165.05631,126,133.51904,68,"7MF95_57.06533_-165.05631_5/6/1995 12:50:00_333",0,275,"5/6/1995"
"23","7MF95","28",1,"5/6/1995 21:07:00","7MF95 28 1 60BON 1",0,0,1995,5,56.46683,-166.96069,126,149.18192,101,"7MF95_56.46683_-166.96069_5/6/1995 21:07:00_333",0,275,"5/6/1995"
"26","7MF95","77",1,"5/11/1995 12:00:00","7MF95 77 1 60BON 1",0,0,1995,5,55.66967,-167.6637,131,166.11275,134,"7MF95_55.66967_-167.6637_5/11/1995 12:00:00_333",0,275,"5/11/1995"
"30","6MF95","35",1,"4/20/1995 5:21:00","6MF95 35 1 60BON 1",0,0,1995,4,54.92083,-168.65871,110,123.50719,1945,"6MF95_54.92083_-168.65871_4/20/1995 5:21:00_333",0,275,"4/20/1995"
"31","6MF95","37",1,"4/20/1995 6:50:00","6MF95 37 1 60BON 1",0,0,1995,4,55.03,-168.7675,110,132.25848,2034,"6MF95_55.03_-168.7675_4/20/1995 6:50:00_333",0,275,"4/20/1995"
"32","6MF95","53",1,"4/21/1995 16:29:00","6MF95 53 1 60BON 1",0,0,1995,4,54.57117,-166.6273,111,286.67996,414,"6MF95_54.57117_-166.6273_4/21/1995 16:29:00_333",0,275,"4/21/1995"
"33","6MF95","56",2,"4/22/1995 2:30:00","6MF95 56 2 60BON 1",0,0,1995,4,54.41083,-165.1308,112,172.62647,133,"6MF95_54.41083_-165.1308_4/22/1995 2:30:00_333",0,275,"4/22/1995"
"34","3MF79","G008A",2,"6/1/1979 23:20:00","3MF79 G008A 2 60BON 1",0,0,1979,6,55.655,-167.065,152,168.15161,134,"3MF79_55.655_-167.065_6/1/1979 23:20:00_505",0,85,"6/1/1979"
"35","4MF07","78",2,"5/16/2007 9:20:00","4MF07 78 2 60BON 1",0,0,2007,5,55.931,-171.31767,136,405.94821,2900,"4MF07_55.931_-171.31767_5/16/2007 9:20:00_505",0,279,"5/16/2007"
"38","3MF93","104",1,"4/29/1993 4:12:00","3MF93 104 1 60BON 1",0,0,1993,4,54.12667,-167.23669,119,461.04001,1554,"3MF93_54.12667_-167.23669_4/29/1993 4:12:00_333",0,119,"4/29/1993"
"40","2AR07","1",2,"6/25/2007 4:12:00","2AR07 1 2 60BON 1",0,0,2007,6,55.35833,-166.35249,176,197.33493,127,"2AR07_55.35833_-166.35249_6/25/2007 4:12:00_333",0,279,"6/25/2007"
"41","2DY08","11",1,"5/9/2008 23:07:00","2DY08 11 1 60BON 1",0,0,2008,5,55.404,-168.16467,129,486.55438,350,"2DY08_55.404_-168.16467_5/9/2008 23:07:00_333",0,231,"5/9/2008"
"42","2DY10","58",2,"5/11/2010 19:53:00","2DY10 58 2 60BON 2",0,0,2010,5,56.10067,-162.60083,131,143.88159,80,"2DY10_56.10067_-162.60083_5/11/2010 19:53:00_500",0,240,"5/11/2010"
"51","3MF93","107",1,"4/29/1993 13:40:00","3MF93 107 1 60BON 1",0,0,1993,4,54.24333,-166.7117,119,413.33929,1225,"3MF93_54.24333_-166.7117_4/29/1993 13:40:00_333",0,119,"4/29/1993"
"52","2DY08","5",1,"5/7/2008 22:00:00","2DY08 5 1 60BON 1",0,0,2008,5,57.01767,-164.21783,127,127.4415,70,"2DY08_57.01767_-164.21783_5/7/2008 22:00:00_333",0,231,"5/7/2008"
"53","2AR08","8",1,"6/29/2008 2:01:00","2AR08 8 1 60BON 1",0,0,2008,6,57.67833,-170.198,180,105.43007,69,"2AR08_57.67833_-170.198_6/29/2008 2:01:00_333",0,231,"6/29/2008"
"54","2DY12","120",1,"5/25/2012 13:31:00","2DY12 120 1 60BON 1",0,0,2012,5,56.907,-167.394,145,150.8362,80,"2DY12_56.907_-167.394_5/25/2012 13:31:00_505",0,299,"5/25/2012"
"56","2DY12","4",1,"5/17/2012 9:03:00","2DY12 4 1 60BON 1",0,0,2012,5,56.3465,-167.3352,137,243.3812,120,"2DY12_56.3465_-167.3352_5/17/2012 9:03:00_505",0,299,"5/17/2012"
"57","2DY12","197",1,"6/1/2012 11:51:00","2DY12 197 1 60BON 1",0,0,2012,6,56.61234,-171.0225,152,237.668,121,"2DY12_56.61234_-171.0225_6/1/2012 11:51:00_505",0,299,"6/1/2012"
"58","2DY12","69",1,"5/21/2012 21:43:00","2DY12 69 1 60BON 1",0,0,2012,5,56.64,-163.6268,141,138.857,77,"2DY12_56.64_-163.6268_5/21/2012 21:43:00_505",0,299,"5/21/2012"
"59","2DY12","71",1,"5/22/2012 0:36:00","2DY12 71 1 60BON 1",0,0,2012,5,56.201,-163.1985,142,130.8358,85,"2DY12_56.201_-163.1985_5/22/2012 0:36:00_505",0,299,"5/22/2012"
"60","DY14-05","19",8,"5/9/2014 11:20:00","DY14-05 19 8 60BON 2",0,0,2014,5,56.875,-164.0467,129,113.98948,72,"DY14-05_56.875_-164.0467_5/9/2014 11:20:00_505",0,301,"5/9/2014"
"61","5MF97","64",2,"4/25/1997 10:40:00","5MF97 64 2 60BON 1",0,0,1997,4,54.3715,-165.2843,115,256.23804,178,"5MF97_54.3715_-165.2843_4/25/1997 10:40:00_333",0,132,"4/25/1997"
"63","3MF79","V004A",2,"6/2/1979 22:31:00","3MF79 V004A 2 60BON 1",0,0,1979,6,56.05167,-166.595,153,168.75987,124,"3MF79_56.05167_-166.595_6/2/1979 22:31:00_505",0,85,"6/2/1979"
"65","3MF02","47",2,"5/17/2002 9:39:00","3MF02 47 2 60BON 1",0,0,2002,5,55.9835,-162.98233,137,155.59938,90,"3MF02_55.9835_-162.98233_5/17/2002 9:39:00_505",0,150,"5/17/2002"
"66","3MF02","23",2,"5/15/2002 2:01:00","3MF02 23 2 60BON 1",0,0,2002,5,55.541,-162.56117,135,37.21604,30,"3MF02_55.541_-162.56117_5/15/2002 2:01:00_505",0,150,"5/15/2002"
"67","3MF02","48",2,"5/17/2002 11:35:00","3MF02 48 2 60BON 1",0,0,2002,5,56.10117,-162.59151,137,127.94523,84,"3MF02_56.10117_-162.59151_5/17/2002 11:35:00_505",0,150,"5/17/2002"
"68","3MF02","27",2,"5/15/2002 10:39:00","3MF02 27 2 60BON 1",0,0,2002,5,55.52667,-163.5535,135,61.57502,79,"3MF02_55.52667_-163.5535_5/15/2002 10:39:00_505",0,150,"5/15/2002"
"70","3DY09","66",2,"5/15/2009 15:47:00","3DY09 66 2 60BON 1",0,0,2009,5,56.04367,-165.55533,135,147.58528,98,"3DY09_56.04367_-165.55533_5/15/2009 15:47:00_505",0,189,"5/15/2009"
"71","3DY08","47",2,"5/19/2008 8:54:00","3DY08 47 2 60BON 1",0,0,2008,5,55.6205,-164.142,139,169.60904,96,"3DY08_55.6205_-164.142_5/19/2008 8:54:00_335",0,231,"5/19/2008"
"72","3DY08","27",2,"5/16/2008 6:28:00","3DY08 27 2 60BON 1",0,0,2008,5,56.54233,-163.02417,136,96.7888,80,"3DY08_56.54233_-163.02417_5/16/2008 6:28:00_335",0,231,"5/16/2008"
"73","3DY08","29",2,"5/16/2008 10:21:00","3DY08 29 2 60BON 1",0,0,2008,5,56.64317,-163.62784,136,105.65563,77,"3DY08_56.64317_-163.62784_5/16/2008 10:21:00_335",0,231,"5/16/2008"
"75","2DY12","49",1,"5/20/2012 7:35:00","2DY12 49 1 60BON 1",0,0,2012,5,56.50483,-165.0017,140,134.9952,81,"2DY12_56.50483_-165.0017_5/20/2012 7:35:00_505",0,299,"5/20/2012"
"76","2DY12","50",1,"5/20/2012 9:07:00","2DY12 50 1 60BON 1",0,0,2012,5,56.626,-164.6202,140,104.0644,77,"2DY12_56.626_-164.6202_5/20/2012 9:07:00_505",0,299,"5/20/2012"
"77","DY14-05","36",2,"5/10/2014 12:24:00","DY14-05 36 2 60BON 1",20.63198,33.27739,2014,5,57.5032,-167.3388,130,120.20173,71,"DY14-05_57.5032_-167.3388_5/10/2014 12:24:00_505",4,301,"5/10/2014"
"78","DY14-05","42",2,"5/10/2014 22:03:00","DY14-05 42 2 60BON 1",0,0,2014,5,57.7683,-168.4642,130,119.13959,71,"DY14-05_57.7683_-168.4642_5/10/2014 22:03:00_505",0,301,"5/10/2014"
"79","DY14-05","43",5,"5/11/2014 0:32:00","DY14-05 43 5 60BON 2",0,0,2014,5,57.8352,-168.8827,131,130.47681,71,"DY14-05_57.8352_-168.8827_5/11/2014 0:32:00_505",0,301,"5/11/2014"
"80","1DY12","12",2,"4/29/2012 16:03:00","1DY12 12 2 60BON 1",0,0,2012,4,54.41683,-165.1548,119,269.7754,157,"1DY12_54.41683_-165.1548_4/29/2012 16:03:00_505",0,299,"4/29/2012"
"86","3DY09","49",2,"5/14/2009 6:43:00","3DY09 49 2 60BON 1",0,0,2009,5,55.5285,-163.54916,134,130.95004,75,"3DY09_55.5285_-163.54916_5/14/2009 6:43:00_505",0,189,"5/14/2009"
"87","2DY12","110",2,"5/24/2012 17:34:00","2DY12 110 2 60BON 1",0,0,2012,5,57.00017,-162.4698,144,52.3545,63,"2DY12_57.00017_-162.4698_5/24/2012 17:34:00_505",0,299,"5/24/2012"
"88","2DY12","111",1,"5/24/2012 19:01:00","2DY12 111 1 60BON 1",0,0,2012,5,56.88467,-162.8507,144,142.802,66,"2DY12_56.88467_-162.8507_5/24/2012 19:01:00_505",0,299,"5/24/2012"
"89","3MF93","27",1,"4/18/1993 8:00:00","3MF93 27 1 60BON 1",0,0,1993,4,55.10333,-167.6283,108,360.0397,286,"3MF93_55.10333_-167.6283_4/18/1993 8:00:00_333",0,119,"4/18/1993"
"90","3DY09","80",2,"5/17/2009 0:59:00","3DY09 80 2 60BON 1",0,0,2009,5,54.76733,-167.78467,137,468.78006,1250,"3DY09_54.76733_-167.78467_5/17/2009 0:59:00_505",0,189,"5/17/2009"
"91","3MF06","61",2,"5/16/2006 3:24:00","3MF06 61 2 60BON 1",0,0,2006,5,55.96833,-163.96033,136,146.29067,92,"3MF06_55.96833_-163.96033_5/16/2006 3:24:00_505",0,267,"5/16/2006"
"92","3DY08","60",2,"5/20/2008 11:58:00","3DY08 60 2 60BON 1",0,0,2008,5,54.9285,-165.47983,140,260.64014,127,"3DY08_54.9285_-165.47983_5/20/2008 11:58:00_335",0,231,"5/20/2008"
"93","DY14-05","96",2,"5/16/2014 12:00:00","DY14-05 96 2 60BON 1",6.572,2.18339,2014,5,54.568,-166.5348,136,458.00373,422,"DY14-05_54.568_-166.5348_5/16/2014 12:00:00_505",1,301,"5/16/2014"
"94","DY14-06","16",1,"5/22/2014 6:56:00","DY14-06 16 1 60BON 1",27.56368,25.05789,2014,5,55.1477,-165.6873,142,239.44553,123,"DY14-06_55.1477_-165.6873_5/22/2014 6:56:00_505",6,301,"5/22/2014"
"95","3MF93","39",1,"4/19/1993 9:36:00","3MF93 39 1 60BON 1",0,0,1993,4,54.65,-168.1367,109,429.98996,1685,"3MF93_54.65_-168.1367_4/19/1993 9:36:00_333",0,119,"4/19/1993"
"96","3MF93","41",1,"4/19/1993 13:42:00","3MF93 41 1 60BON 1",0,0,1993,4,55.13667,-168.5818,109,447.28873,1925,"3MF93_55.13667_-168.5818_4/19/1993 13:42:00_333",0,119,"4/19/1993"
"97","3MF93","43",1,"4/19/1993 17:43:00","3MF93 43 1 60BON 1",0,0,1993,4,54.74,-168.72501,109,465.05548,2089,"3MF93_54.74_-168.72501_4/19/1993 17:43:00_333",0,119,"4/19/1993"
"99","3MF93","5",1,"4/16/1993 1:48:00","3MF93 5 1 60BON 1",0,0,1993,4,54.28667,-167.0583,106,139.08666,1310,"3MF93_54.28667_-167.0583_4/16/1993 1:48:00_333",0,119,"4/16/1993"
"100","3MF93","61",1,"4/21/1993 15:34:00","3MF93 61 1 60BON 1",0,0,1993,4,54.825,-169.3183,111,491.4631,2201,"3MF93_54.825_-169.3183_4/21/1993 15:34:00_333",0,119,"4/21/1993"
"101","3MF93","72",1,"4/22/1993 9:26:00","3MF93 72 1 60BON 1",0,0,1993,4,54.79167,-167.94501,112,468.42398,1751,"3MF93_54.79167_-167.94501_4/22/1993 9:26:00_333",0,119,"4/22/1993"
"105","3MF06","67",3,"5/16/2006 16:03:00","3MF06 67 3 60BON 2",0,0,2006,5,55.7525,-162.76849,136,93.87621,58,"3MF06_55.7525_-162.76849_5/16/2006 16:03:00_505",0,267,"5/16/2006"
"106","3MF02","40",2,"5/16/2002 17:15:00","3MF02 40 2 60BON 1",13.18758,9.91547,2002,5,55.02883,-166.07016,136,201.70494,141,"3MF02_55.02883_-166.07016_5/16/2002 17:15:00_505",2,150,"5/16/2002"
"107","6MF95","99",1,"4/26/1995 18:18:00","6MF95 99 1 60BON 1",0,0,1995,4,55.344,-166.87019,116,161.57082,138,"6MF95_55.344_-166.87019_4/26/1995 18:18:00_333",0,275,"4/26/1995"
"110","6MF95","101",1,"4/26/1995 21:25:00","6MF95 101 1 60BON 1",0,0,1995,4,55.788,-167.30901,116,175.99498,130,"6MF95_55.788_-167.30901_4/26/1995 21:25:00_333",0,275,"4/26/1995"
"111","3MF02","43",2,"5/16/2002 23:54:00","3MF02 43 2 60BON 1",11.68891,11.80698,2002,5,55.38467,-164.92867,136,84.69564,110,"3MF02_55.38467_-164.92867_5/16/2002 23:54:00_505",1,150,"5/16/2002"
"112","DY14-06","119",1,"5/29/2014 6:51:00","DY14-06 119 1 60BON 1",0,0,2014,5,56.7058,-166.1967,149,131.09146,81,"DY14-06_56.7058_-166.1967_5/29/2014 6:51:00_505",0,301,"5/29/2014"
"113","DY14-06","128",1,"5/29/2014 21:04:00","DY14-06 128 1 60BON 1",4.71331,2.38046,2014,5,56.2085,-168.682,149,420.08667,206,"DY14-06_56.2085_-168.682_5/29/2014 21:04:00_505",1,301,"5/29/2014"
"114","DY14-06","131",1,"5/30/2014 2:51:00","DY14-06 131 1 60BON 1",22.14541,7.3818,2014,5,55.8518,-169.7893,150,541.87313,1904,"DY14-06_55.8518_-169.7893_5/30/2014 2:51:00_505",4,301,"5/30/2014"
"115","DY14-06","133",1,"5/30/2014 7:38:00","DY14-06 133 1 60BON 1",11.09193,3.67282,2014,5,55.9552,-170.381,150,544.54023,929,"DY14-06_55.9552_-170.381_5/30/2014 7:38:00_505",2,301,"5/30/2014"
"116","DY14-06","135",1,"5/30/2014 12:27:00","DY14-06 135 1 60BON 1",19.15352,6.34223,2014,5,56.1893,-169.636,150,473.01998,361,"DY14-06_56.1893_-169.636_5/30/2014 12:27:00_505",3,301,"5/30/2014"
"117","1DN88","G161A",1,"4/12/1988 9:40:00","1DN88 G161A 1 60BON 2",0,0,1988,4,55.36667,-164.10001,102,136.01166,90,"1DN88_55.36667_-164.10001_4/12/1988 9:40:00_505",0,102,"4/12/1988"
"118","DY14-06","139",1,"5/30/2014 19:07:00","DY14-06 139 1 60BON 1",0,0,2014,5,56.6675,-168.1492,150,170.21358,107,"DY14-06_56.6675_-168.1492_5/30/2014 19:07:00_505",0,301,"5/30/2014"
"119","DY14-05","45",2,"5/11/2014 4:33:00","DY14-05 45 2 60BON 2",0,0,2014,5,57.9272,-169.325,131,103.92389,67,"DY14-05_57.9272_-169.325_5/11/2014 4:33:00_505",0,301,"5/11/2014"
"120","DY14-06","2",1,"5/21/2014 3:43:00","DY14-06 2 1 60BON 1",12.40625,4.13542,2014,5,54.181,-167.154,141,483.62709,1696,"DY14-06_54.181_-167.154_5/21/2014 3:43:00_505",2,301,"5/21/2014"
"127","2DY10","2",2,"5/6/2010 11:44:00","2DY10 2 2 60BON 2",0,0,2010,5,54.4505,-167.00833,126,434.15085,505,"2DY10_54.4505_-167.00833_5/6/2010 11:44:00_500",0,240,"5/6/2010"
"128","DY14-06","156",1,"6/2/2014 1:19:00","DY14-06 156 1 60BON 1",0,0,2014,6,56.9895,-168.9562,153,128.31635,80,"DY14-06_56.9895_-168.9562_6/2/2014 1:19:00_505",0,301,"6/2/2014"
"129","DY14-06","166",1,"6/2/2014 19:28:00","DY14-06 166 1 60BON 1",0,0,2014,6,56.8507,-170.2835,153,153.76702,93,"DY14-06_56.8507_-170.2835_6/2/2014 19:28:00_505",0,301,"6/2/2014"
"131","2DY10","22",3,"5/8/2010 12:22:00","2DY10 22 3 60BON 2",0,0,2010,5,54.707,-165.272,128,264.8378,136,"2DY10_54.707_-165.272_5/8/2010 12:22:00_500",0,240,"5/8/2010"
"132","2DY10","25",4,"5/8/2010 21:06:00","2DY10 25 4 60BON 2",0,0,2010,5,55.36467,-165.89317,128,204.07626,121,"2DY10_55.36467_-165.89317_5/8/2010 21:06:00_500",0,240,"5/8/2010"
"133","2DY10","4",2,"5/6/2010 16:38:00","2DY10 4 2 60BON 2",0,0,2010,5,54.89034,-167.42183,126,464.43213,429,"2DY10_54.89034_-167.42183_5/6/2010 16:38:00_500",0,240,"5/6/2010"
"136","7MF95","111",1,"5/14/1995 7:33:00","7MF95 111 1 60BON 1",0,0,1995,5,55.305,-163.3402,134,70.86671,49,"7MF95_55.305_-163.3402_5/14/1995 7:33:00_333",0,275,"5/14/1995"
"138","6MF95","122",1,"4/28/1995 14:59:00","6MF95 122 1 60BON 1",0,0,1995,4,55.94333,-164.9572,118,132.82716,98,"6MF95_55.94333_-164.9572_4/28/1995 14:59:00_333",0,275,"4/28/1995"
"139","6MF95","13",1,"4/18/1995 10:07:00","6MF95 13 1 60BON 1",0,0,1995,4,55.20733,-168.2058,108,296.66574,1420,"6MF95_55.20733_-168.2058_4/18/1995 10:07:00_333",0,275,"4/18/1995"
"140","6MF95","143",1,"4/30/1995 17:04:00","6MF95 143 1 60BON 1",0,0,1995,4,54.9155,-164.795,120,87.05413,74,"6MF95_54.9155_-164.795_4/30/1995 17:04:00_333",0,275,"4/30/1995"
"141","6MF95","146",1,"4/30/1995 19:29:00","6MF95 146 1 60BON 1",0,0,1995,4,54.95083,-164.98351,120,119.57319,92,"6MF95_54.95083_-164.98351_4/30/1995 19:29:00_333",0,275,"4/30/1995"
"144","3DY09","9",2,"5/9/2009 12:31:00","3DY09 9 2 60BON 1",0,0,2009,5,56.96933,-169.91684,129,102.90499,68,"3DY09_56.96933_-169.91684_5/9/2009 12:31:00_505",0,189,"5/9/2009"
"145","3DY08","18",2,"5/15/2008 13:14:00","3DY08 18 2 60BON 1",0,0,2008,5,56.66183,-162.6245,135,119.34459,76,"3DY08_56.66183_-162.6245_5/15/2008 13:14:00_335",0,231,"5/15/2008"
"146","3DY08","2",2,"5/13/2008 2:54:00","3DY08 2 2 60BON 1",0,0,2008,5,54.231,-166.7935,133,503.11578,1261,"3DY08_54.231_-166.7935_5/13/2008 2:54:00_335",0,231,"5/13/2008"
"147","1DY12","45",2,"5/3/2012 12:58:00","1DY12 45 2 60BON 1",0,0,2012,5,54.2205,-166.7968,123,683.6115,1315,"1DY12_54.2205_-166.7968_5/3/2012 12:58:00_505",0,299,"5/3/2012"
"149","3MF06","1",2,"5/9/2006 8:32:00","3MF06 1 2 60BON 1",6.63413,2.64308,2006,5,53.37233,-168.72983,129,378.34634,262,"3MF06_53.37233_-168.72983_5/9/2006 8:32:00_505",1,267,"5/9/2006"
"150","3MF06","10",2,"5/10/2006 15:08:00","3MF06 10 2 60BON 1",0,0,2006,5,54.21983,-167.75867,130,395.04758,1330,"3MF06_54.21983_-167.75867_5/10/2006 15:08:00_505",0,267,"5/10/2006"
"151","3MF06","51",2,"5/15/2006 6:16:00","3MF06 51 2 60BON 1",0,0,2006,5,55.28783,-164.32716,135,136.66118,97,"3MF06_55.28783_-164.32716_5/15/2006 6:16:00_505",0,267,"5/15/2006"
"152","3MF06","28",2,"5/12/2006 20:10:00","3MF06 28 2 60BON 1",0,0,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_5/12/2006 20:10:00_505",0,267,"5/12/2006"
"153","3DY08","37",2,"5/17/2008 4:38:00","3DY08 37 2 60BON 1",0,0,2008,5,56.08417,-163.58566,137,114.18797,91,"3DY08_56.08417_-163.58566_5/17/2008 4:38:00_335",0,231,"5/17/2008"
"154","2DY12","42",1,"5/19/2012 20:45:00","2DY12 42 1 60BON 1",0,0,2012,5,55.069,-164.1228,139,85.9039,34,"2DY12_55.069_-164.1228_5/19/2012 20:45:00_505",0,299,"5/19/2012"
"155","DY14-06","41",1,"5/24/2014 4:00:00","DY14-06 41 1 60BON 1",0,0,2014,5,55.6237,-164.1453,144,156.09901,94,"DY14-06_55.6237_-164.1453_5/24/2014 4:00:00_505",0,301,"5/24/2014"
"160","2DY12","151",1,"5/28/2012 7:19:00","2DY12 151 1 60BON 1",0,0,2012,5,55.85266,-169.7832,148,595.1558,1862,"2DY12_55.85266_-169.7832_5/28/2012 7:19:00_505",0,299,"5/28/2012"
"161","1MF99","42",1,"4/17/1999 19:41:00","1MF99 42 1 60BON 1",0,0,1999,4,56.52433,-164.01601,107,138.47374,82,"1MF99_56.52433_-164.01601_4/17/1999 19:41:00_505",0,84,"4/17/1999"
"162","1MP91","G034A",1,"4/17/1991 23:40:00","1MP91 G034A 1 60BON 1",0,0,1991,4,54.43333,-167.3833,107,207.61379,655,"1MP91_54.43333_-167.3833_4/17/1991 23:40:00_333",0,75,"4/17/1991"
"163","1MP91","G035A",1,"4/18/1991 2:24:00","1MP91 G035A 1 60BON 1",0,0,1991,4,54.16667,-167.9333,108,225.19859,1600,"1MP91_54.16667_-167.9333_4/18/1991 2:24:00_333",0,75,"4/18/1991"
"164","1MP91","G130A",1,"5/6/1991 8:10:00","1MP91 G130A 1 60BON 1",0,0,1991,5,55,-170.6667,126,202.51918,3300,"1MP91_55_-170.6667_5/6/1991 8:10:00_333",0,75,"5/6/1991"
"165","1MP91","G131A",1,"5/6/1991 13:40:00","1MP91 G131A 1 60BON 1",0,0,1991,5,54.86667,-169.4333,126,199.9597,2634,"1MP91_54.86667_-169.4333_5/6/1991 13:40:00_333",0,75,"5/6/1991"
"167","2MF98","18",2,"4/11/1998 4:38:00","2MF98 18 2 60BON 1",0,0,1998,4,55.62767,-164.15981,101,173.07181,96,"2MF98_55.62767_-164.15981_4/11/1998 4:38:00_505",0,16,"4/11/1998"
"168","5MF05","59",3,"5/16/2005 6:14:00","5MF05 59 3 60BON 1",0,0,2005,5,55.87083,-163.3725,136,105.258,90,"5MF05_55.87083_-163.3725_5/16/2005 6:14:00_505",0,148,"5/16/2005"
"169","1DN88","G165A",1,"4/12/1988 21:05:00","1DN88 G165A 1 60BON 2",0,0,1988,4,55.825,-162.4167,102,49.01291,50,"1DN88_55.825_-162.4167_4/12/1988 21:05:00_505",0,102,"4/12/1988"
"170","1DN88","G175A",1,"4/17/1988 6:00:00","1DN88 G175A 1 60BON 2",0,0,1988,4,54.5,-167.35001,107,333.94827,500,"1DN88_54.5_-167.35001_4/17/1988 6:00:00_505",0,102,"4/17/1988"
"171","1DN88","G184A",1,"4/21/1988 10:00:00","1DN88 G184A 1 60BON 2",0,0,1988,4,56.46333,-165.96671,111,90.58024,85,"1DN88_56.46333_-165.96671_4/21/1988 10:00:00_505",0,102,"4/21/1988"
"172","1DN88","G187A",1,"4/22/1988 16:50:00","1DN88 G187A 1 60BON 2",0,0,1988,4,55.09167,-167.8167,112,333.22644,490,"1DN88_55.09167_-167.8167_4/22/1988 16:50:00_505",0,102,"4/22/1988"
"173","1DN88","G192A",1,"4/24/1988 19:18:00","1DN88 G192A 1 60BON 2",0,0,1988,4,56.91667,-167.8833,114,92.53533,80,"1DN88_56.91667_-167.8833_4/24/1988 19:18:00_505",0,102,"4/24/1988"
"177","1OM06","11",1,"6/23/2006 15:45:00","1OM06 11 1 60BON 1",0,0,2006,6,57.0015,-167.99634,174,129.38129,79,"1OM06_57.0015_-167.99634_6/23/2006 15:45:00_505",0,267,"6/23/2006"
"179","2DY08","10",2,"5/9/2008 22:05:00","2DY08 10 2 60BON 1",0,0,2008,5,55.47017,-167.95934,129,227.53897,148,"2DY08_55.47017_-167.95934_5/9/2008 22:05:00_333",0,231,"5/9/2008"
"180","2AR07","12",2,"7/7/2007 1:27:00","2AR07 12 2 60BON 1",0,0,2007,7,56.615,-170.08667,188,85.19345,96,"2AR07_56.615_-170.08667_7/7/2007 1:27:00_333",0,279,"7/7/2007"
"181","1DY12","66",3,"5/8/2012 13:22:00","1DY12 66 3 60BON 1",0,0,2012,5,56.86067,-164.0747,128,135.7461,73,"1DY12_56.86067_-164.0747_5/8/2012 13:22:00_505",0,299,"5/8/2012"
"182","3MF06","54",2,"5/15/2006 13:46:00","3MF06 54 2 60BON 1",0,0,2006,5,55.847,-164.38651,135,135.87779,95,"3MF06_55.847_-164.38651_5/15/2006 13:46:00_505",0,267,"5/15/2006"
"184","DY15-04","40",2,"5/2/2015 23:51:00","DY15-04 40 2 60BON 1",0,0,2015,5,57.5028,-167.992,122,137.428,72,"DY15-04_57.5028_-167.992_5/2/2015 23:51:00_505",0,93,"5/2/2015"
"185","DY15-04","42",2,"5/3/2015 2:22:00","DY15-04 42 2 60BON 1",0,0,2015,5,57.5285,-168.6145,123,149.565,73,"DY15-04_57.5285_-168.6145_5/3/2015 2:22:00_505",0,93,"5/3/2015"
