"","lon","lat","dist","year","doy","bottom_depth","temperature","salinity","pred"
"1",-169.928403361345,57.5122535294118,3597.10108946887,2009,137,89,3.48593178489152,31.8622738466589,7.11604832176473
"2",-169.928403361345,57.4563546218487,8803.42627927938,2009,137,89,3.48593178489152,31.8622738466589,7.11543730253242
"3",-170.061180672269,57.5122535294118,4644.68956422372,2009,137,89,3.48593178489152,31.8622738466589,7.1150474284761
"4",-169.79562605042,57.4563546218487,13674.9941937377,2009,137,89,3.48593178489152,31.8622738466589,7.11148457003161
"5",-170.061180672269,57.4563546218487,9157.18603050935,2009,137,89,3.48593178489152,31.8622738466589,7.11028488886162
"6",-169.79562605042,57.5122535294118,11057.8781488337,2009,137,89,3.48593178489152,31.8622738466589,7.10854778654499
"7",-170.061180672269,57.5681524369748,5918.93726529169,2009,137,89,3.48593178489152,31.8622738466589,7.10452590234109
"8",-169.662848739496,57.4563546218487,16074.4501377812,2009,137,89,3.48593178489152,31.8622738466589,7.10276115588748
"9",-170.193957983193,57.5122535294118,12314.0427735286,2009,137,89,3.48593178489152,31.8622738466589,7.10179489589622
"10",-169.928403361345,57.5681524369748,5064.31592275187,2009,137,89,3.48593178489152,31.8622738466589,7.10130506004156
"11",-169.928403361345,57.4004557142857,13749.714907111,2009,137,89,3.48593178489152,31.8622738466589,7.09925168590862
"12",-169.79562605042,57.4004557142857,9960.21880763424,2009,137,89,3.48593178489152,31.8622738466589,7.09893043592104
"13",-169.662848739496,57.5122535294118,15201.3280453156,2009,137,89,3.48593178489152,31.8622738466589,7.09747204842729
"14",-170.193957983193,57.5681524369748,12897.4380888625,2009,137,89,3.48593178489152,31.8622738466589,7.09622093385953
"15",-169.530071428571,57.4563546218487,8476.40213715992,2009,137,89,3.48593178489152,31.8622738466589,7.09266113344275
"16",-169.662848739496,57.4004557142857,11515.5348199803,2009,137,89,3.48593178489152,31.8622738466589,7.09259303788268
"17",-170.193957983193,57.4563546218487,9744.32296890837,2009,137,89,3.48593178489152,31.8622738466589,7.09232820140206
"18",-169.79562605042,57.5681524369748,11611.0846187585,2009,137,89,3.48593178489152,31.8622738466589,7.09054443040079
"19",-170.061180672269,57.4004557142857,14946.7158563215,2009,137,89,3.48593178489152,31.8622738466589,7.08999956675605
"20",-169.530071428571,57.5122535294118,11505.5989597184,2009,137,89,3.48593178489152,31.8622738466589,7.08578145514264
"21",-169.530071428571,57.4004557142857,8266.82661471639,2009,137,89,3.48593178489152,31.8622738466589,7.08401660916525
"22",-169.397294117647,57.4563546218487,3215.68998027954,2009,137,89,3.48593178489152,31.8622738466589,7.08371693065639
"23",-170.061180672269,57.6240513445378,11128.721686268,2009,137,89,3.48593178489152,31.8622738466589,7.0792690007202
"24",-169.662848739496,57.5681524369748,9134.78102685852,2009,137,89,3.48593178489152,31.8622738466589,7.07720559686131
"25",-169.264516806723,57.4563546218487,5546.19952962439,2009,137,89,3.48593178489152,31.8622738466589,7.07624276103543
"26",-170.193957983193,57.6240513445378,13788.9247237609,2009,137,89,3.48593178489152,31.8622738466589,7.07620125504439
"27",-169.397294117647,57.4004557142857,2823.90131060673,2009,137,89,3.48593178489152,31.8622738466589,7.07588519773589
"28",-169.397294117647,57.5122535294118,4910.43507995999,2009,137,89,3.48593178489152,31.8622738466589,7.0758367351604
"29",-170.326735294118,57.5122535294118,10868.7306399606,2009,137,89,3.48593178489152,31.8622738466589,7.07254261684762
"30",-170.326735294118,57.5681524369748,16409.2448153684,2009,137,89,3.48593178489152,31.8622738466589,7.07243063585502
"31",-169.928403361345,57.6240513445378,10752.8969501238,2009,137,89,3.48593178489152,31.8622738466589,7.07179728863601
"32",-169.131739495798,57.4563546218487,11718.8925034478,2009,137,89,3.48593178489152,31.8622738466589,7.07116282578232
"33",-169.79562605042,57.3445568067227,4032.91774639698,2009,137,89,3.48593178489152,31.8622738466589,7.07050320825959
"34",-169.264516806723,57.4004557142857,8300.15087365545,2009,137,89,3.48593178489152,31.8622738466589,7.06853813271785
"35",-169.264516806723,57.5122535294118,6460.91644867476,2009,137,89,3.48593178489152,31.8622738466589,7.06841469973278
"36",-168.998962184874,57.4563546218487,10096.0430341416,2009,137,89,3.48593178489152,31.8622738466589,7.06812386214813
"37",-170.193957983193,57.4004557142857,8722.26440176728,2009,137,89,3.48593178489152,31.8622738466589,7.06733533619508
"38",-169.928403361345,57.3445568067227,10047.0290381122,2009,137,89,3.48593178489152,31.8622738466589,7.06727258409068
"39",-169.662848739496,57.3445568067227,7051.02053232284,2009,137,89,3.48593178489152,31.8622738466589,7.06653861910751
"40",-168.86618487395,57.4563546218487,13870.0553887602,2009,137,89,3.48593178489152,31.8622738466589,7.06650703845211
"41",-168.733407563025,57.4563546218487,9057.35504383184,2009,137,89,3.48593178489152,31.8622738466589,7.06583706600754
"42",-168.600630252101,57.5122535294118,1696.4553523471,2009,137,89,3.48593178489152,31.8622738466589,7.06451211856664
"43",-169.131739495798,57.5122535294118,7223.48991067557,2009,137,89,3.48593178489152,31.8622738466589,7.06415251182662
"44",-168.600630252101,57.4563546218487,7187.78389626928,2009,137,89,3.48593178489152,31.8622738466589,7.0639220743938
"45",-169.530071428571,57.5681524369748,10210.6205681242,2009,137,89,3.48593178489152,31.8622738466589,7.06387583619111
"46",-168.733407563025,57.5122535294118,5915.23573039319,2009,137,89,3.48593178489152,31.8622738466589,7.06364499880992
"47",-169.131739495798,57.4004557142857,15524.6528350708,2009,137,89,3.48593178489152,31.8622738466589,7.06273637126382
