"","salinity","temperature","dist","year","lon","lat","doy","bottom_depth","pred"
"1",31.3527306397306,7.79636354453627,0.212376835366456,2005,-165.69167,56.5287,137,83,6.24108467204963
"2",31.4055486991123,7.89710174471992,0.216232390524516,2005,-165.69167,56.5287,137,83,6.10668685152334
"3",31.3791396694215,7.79636354453627,0.186881930557369,2005,-165.69167,56.5287,137,83,6.08812224573213
"4",31.3527306397306,7.69562534435261,0.211623507381999,2005,-165.69167,56.5287,137,83,6.03658472005413
"5",31.4055486991123,7.79636354453627,0.161680751593537,2005,-165.69167,56.5287,137,83,5.91953570944536
"6",31.4319577288032,7.89710174471992,0.19841151649381,2005,-165.69167,56.5287,137,83,5.91142850396089
"7",31.3791396694215,7.69562534435261,0.186025387098745,2005,-165.69167,56.5287,137,83,5.89247369875129
"8",31.4319577288032,7.79636354453627,0.136935563683354,2005,-165.69167,56.5287,137,83,5.73497786074562
"9",31.4055486991123,7.69562534435261,0.16068993158328,2005,-165.69167,56.5287,137,83,5.73361243061305
"10",31.458366758494,7.89710174471992,0.182681927790419,2005,-165.69167,56.5287,137,83,5.69893202276438
"11",31.4319577288032,7.69562534435261,0.13576427099081,2005,-165.69167,56.5287,137,83,5.55967313237644
"12",31.4055486991123,7.59488714416896,0.21400516989342,2005,-165.69167,56.5287,137,83,5.54916258767554
"13",31.458366758494,7.79636354453627,0.112946471680739,2005,-165.69167,56.5287,137,83,5.53410149718909
"14",31.4847757881849,7.89710174471992,0.169626405089238,2005,-165.69167,56.5287,137,83,5.46883063913312
"15",31.4319577288032,7.59488714416896,0.195981876474685,2005,-165.69167,56.5287,137,83,5.38574350182256
"16",31.458366758494,7.69562534435261,0.111523513850292,2005,-165.69167,56.5287,137,83,5.37032802077841
"17",31.4847757881849,7.79636354453627,0.0903179717852577,2005,-165.69167,56.5287,137,83,5.31655941633204
"18",31.5111848178757,7.89710174471992,0.159901286937278,2005,-165.69167,56.5287,137,83,5.22075758426642
"19",31.458366758494,7.59488714416896,0.180040142108333,2005,-165.69167,56.5287,137,83,5.20782300336525
"20",31.4847757881849,7.69562534435261,0.0885320546683003,2005,-165.69167,56.5287,137,83,5.16524931255597
"21",31.5111848178757,7.79636354453627,0.0703749976064076,2005,-165.69167,56.5287,137,83,5.08200441573073
"22",31.4847757881849,7.59488714416896,0.166777946181932,2005,-165.69167,56.5287,137,83,5.0150925516099
"23",31.5375938475666,7.89710174471992,0.154138248086971,2005,-165.69167,56.5287,137,83,4.95434608936349
"24",31.5111848178757,7.69562534435261,0.0680678262065874,2005,-165.69167,56.5287,137,83,4.94410922444613
"25",31.5375938475666,7.79636354453627,0.0560608441536962,2005,-165.69167,56.5287,137,83,4.83008929294134
"26",31.2999125803489,6.99045794306703,0.219127586190077,2005,-165.69167,56.5287,137,83,4.81098156398656
"27",31.5111848178757,7.59488714416896,0.156876344913319,2005,-165.69167,56.5287,137,83,4.80724360586285
"28",31.3791396694215,7.09119614325068,0.201619012276765,2005,-165.69167,56.5287,137,83,4.76054035444016
"29",31.3263216100398,6.99045794306703,0.193501075314615,2005,-165.69167,56.5287,137,83,4.7430235942627
"30",31.458366758494,7.29267254361799,0.211262453010143,2005,-165.69167,56.5287,137,83,4.73003280344011
"31",31.4847757881849,7.39341074380165,0.209981624694488,2005,-165.69167,56.5287,137,83,4.71900795342782
"32",31.5375938475666,7.69562534435261,0.0531357405482724,2005,-165.69167,56.5287,137,83,4.70657997318584
"33",31.5111848178757,7.4941489439853,0.212813971512881,2005,-165.69167,56.5287,137,83,4.6715791554311
"34",31.5640028772574,7.89710174471992,0.152786292516273,2005,-165.69167,56.5287,137,83,4.66922938562364
"35",31.2735035506581,6.88971974288337,0.209614734626437,2005,-165.69167,56.5287,137,83,4.66799252617681
"36",31.3527306397306,6.99045794306703,0.168116944311863,2005,-165.69167,56.5287,137,83,4.66653259738377
"37",31.4055486991123,7.09119614325068,0.185096229905291,2005,-165.69167,56.5287,137,83,4.65760995412969
"38",31.2999125803489,6.88971974288337,0.187773361166155,2005,-165.69167,56.5287,137,83,4.61396201338834
"39",31.1678674318947,6.78898154269972,0.217800211274198,2005,-165.69167,56.5287,137,83,4.59819888510747
"40",31.5375938475666,7.59488714416896,0.150997899165802,2005,-165.69167,56.5287,137,83,4.58396762543032
"41",31.3791396694215,6.99045794306703,0.143104232921423,2005,-165.69167,56.5287,137,83,4.5813101308578
"42",31.1942764615855,6.78898154269972,0.1970373208614,2005,-165.69167,56.5287,137,83,4.57561192976355
"43",31.458366758494,7.19193434343434,0.196525771386975,2005,-165.69167,56.5287,137,83,4.57471572034625
"44",31.4847757881849,7.29267254361799,0.186051182146947,2005,-165.69167,56.5287,137,83,4.57346456380181
"45",31.5640028772574,7.79636354453627,0.0522290140130227,2005,-165.69167,56.5287,137,83,4.56046684552014
"46",31.3263216100398,6.88971974288337,0.16725491637971,2005,-165.69167,56.5287,137,83,4.55231856423553
"47",31.2206854912764,6.78898154269972,0.177778945018289,2005,-165.69167,56.5287,137,83,4.5467743399543
"48",31.4319577288032,7.09119614325068,0.171072722072432,2005,-165.69167,56.5287,137,83,4.54474322020532
"49",31.5111848178757,7.39341074380165,0.183590008503933,2005,-165.69167,56.5287,137,83,4.53728746860111
"50",31.2470945209672,6.78898154269972,0.160567351817916,2005,-165.69167,56.5287,137,83,4.51152162529907
"51",31.4055486991123,6.99045794306703,0.118697976788667,2005,-165.69167,56.5287,137,83,4.4871577521928
"52",31.3527306397306,6.88971974288337,0.148608386846624,2005,-165.69167,56.5287,137,83,4.48288091832872
