Year,Species,SSB,Source
1993,northern rock sole,278106,NPFMC northern rock sole assessment in the BSAI region December 2020
1994,northern rock sole,323399,NPFMC northern rock sole assessment in the BSAI region December 2020
1995,northern rock sole,373868,NPFMC northern rock sole assessment in the BSAI region December 2020
1996,northern rock sole,456984,NPFMC northern rock sole assessment in the BSAI region December 2020
1997,northern rock sole,501213,NPFMC northern rock sole assessment in the BSAI region December 2020
1998,northern rock sole,493398,NPFMC northern rock sole assessment in the BSAI region December 2020
1999,northern rock sole,517755,NPFMC northern rock sole assessment in the BSAI region December 2020
2000,northern rock sole,541496,NPFMC northern rock sole assessment in the BSAI region December 2020
2001,northern rock sole,562802,NPFMC northern rock sole assessment in the BSAI region December 2020
2002,northern rock sole,568853,NPFMC northern rock sole assessment in the BSAI region December 2020
2003,northern rock sole,567455,NPFMC northern rock sole assessment in the BSAI region December 2020
2004,northern rock sole,568277,NPFMC northern rock sole assessment in the BSAI region December 2020
2005,northern rock sole,491878,NPFMC northern rock sole assessment in the BSAI region December 2020
2006,northern rock sole,439329,NPFMC northern rock sole assessment in the BSAI region December 2020
2007,northern rock sole,414982,NPFMC northern rock sole assessment in the BSAI region December 2020
2008,northern rock sole,389125,NPFMC northern rock sole assessment in the BSAI region December 2020
2009,northern rock sole,368342,NPFMC northern rock sole assessment in the BSAI region December 2020
2010,northern rock sole,388980,NPFMC northern rock sole assessment in the BSAI region December 2020
2011,northern rock sole,447295,NPFMC northern rock sole assessment in the BSAI region December 2020
2012,northern rock sole,483656,NPFMC northern rock sole assessment in the BSAI region December 2020
2013,northern rock sole,496567,NPFMC northern rock sole assessment in the BSAI region December 2020
2014,northern rock sole,502464,NPFMC northern rock sole assessment in the BSAI region December 2020
2015,northern rock sole,520204,NPFMC northern rock sole assessment in the BSAI region December 2020
2016,northern rock sole,471196,NPFMC northern rock sole assessment in the BSAI region December 2020
2017,northern rock sole,428015,NPFMC northern rock sole assessment in the BSAI region December 2020
2018,northern rock sole,378740,NPFMC northern rock sole assessment in the BSAI region December 2020
2019,northern rock sole,348794,NPFMC northern rock sole assessment in the BSAI region December 2020
2020,northern rock sole,314380,NPFMC northern rock sole assessment in the BSAI region December 2020
1976,pacific cod,,*not sure what model to use
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
