"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link"
"75",338,"2DY10",82,3,"2010-05-15 16:06","2DY10 82 3 60BON 2",0,0,2010,5,56.17484,-170.58833,135,217.61765,134,"2DY10_56.17484_-170.58833_2010-05-15 16:06_500",0,370,"5/15/2010",227957,"2DY10_82_3",1.93079090909091,31.66,"5/15/2010","2DY10_82_3"
"78",348,"3DY09",27,2,"2009-05-12 4:54","3DY09 27 2 60BON 1",110.80969,257.69695,2009,5,57.24,-161.677,132,104.77423,52,"3DY09_57.24_-161.677_2009-05-12 4:54_505",27,311,"5/12/2009",225280,"3DY09_27_2",0.0775818181818182,31.6102636363636,"5/12/2009","3DY09_27_2"
"79",350,"5MF00",19,3,"2000-05-07 9:14","5MF00 19 3 60BON 1",0,0,2000,5,57.0485,-170.13817,127,96.04493,64,"5MF00_57.0485_-170.13817_2000-05-07 9:14_333",0,54,"5/7/2000",248451,"5MF00_19_3",1.2658,32.3210714285714,"5/7/2000","5MF00_19_3"
"81",352,"6MF97",63,2,"1997-05-11 8:19","6MF97 63 2 60BON 1",0,0,1997,5,54.422,-165.15134,131,188.20075,141,"6MF97_54.422_-165.15134_1997-05-11 8:19_333",0,132,"5/11/1997",247943,"6MF97_63_2",3.54339166666667,32.0459333333333,"5/11/1997","6MF97_63_2"
"84",371,"4MF07",28,2,"2007-05-11 6:39","4MF07 28 2 60BON 1",0,0,2007,5,56.3095,-169.27133,131,185.71169,150,"4MF07_56.3095_-169.27133_2007-05-11 6:39_505",0,446,"5/11/2007",234261,"4MF07_28_2",2.51070909090909,31.8960636363636,"5/11/2007","4MF07_28_2"
"86",374,"6MF97",19,2,"1997-05-06 9:54","6MF97 19 2 60BON 1",0,0,1997,5,56.20183,-166.504,126,174.2896,114,"6MF97_56.20183_-166.504_1997-05-06 9:54_333",0,132,"5/6/1997",247943,"6MF97_19_2",3.22865833333333,32.0243416666667,"5/6/1997","6MF97_19_2"
"89",381,"4MF07",65,2,"2007-05-14 21:36","4MF07 65 2 60BON 1",0,0,2007,5,56.92933,-171.81233,134,145.1989,115,"4MF07_56.92933_-171.81233_2007-05-14 21:36_505",0,446,"5/14/2007",234261,"4MF07_65_2",2.40576363636364,32.2647636363636,"5/14/2007","4MF07_65_2"
"90",395,"4MF07",43,2,"2007-05-12 16:11","4MF07 43 2 60BON 1",0,0,2007,5,56.62634,-170.06683,132,112.03915,97,"4MF07_56.62634_-170.06683_2007-05-12 16:11_505",0,446,"5/12/2007",234261,"4MF07_43_2",1.96516363636364,32.0795636363636,"5/12/2007","4MF07_43_2"
"96",432,"5MF05",17,2,"2005-05-11 23:37","5MF05 17 2 60BON 1",21.86409,62.46883,2005,5,56.24133,-161.21384,131,80.03992,47,"5MF05_56.24133_-161.21384_2005-05-11 23:37_505",5,283,"5/11/2005",249168,"5MF05_17_2",4.28883636363636,31.6863090909091,"5/11/2005","5MF05_17_2"
"97",450,"5MF05",34,2,"2005-05-13 22:18","5MF05 34 2 60BON 1",55.41533,106.56794,2005,5,57.25683,-160.66766,133,56.30211,60,"5MF05_57.25683_-160.66766_2005-05-13 22:18_505",6,283,"5/13/2005",249168,"5MF05_34_2",3.75612727272727,31.9380181818182,"5/13/2005","5MF05_34_2"
"98",474,"1MF99",23,1,"1999-04-15 21:07","1MF99 23 1 60BON 1",0,0,1999,4,55.94783,-164.96671,105,165.53174,98,"1MF99_55.94783_-164.96671_1999-04-15 21:07_505",0,112,"4/15/1999",246131,"1MF99_23_1",1.12354,32.00554,"4/15/1999","1MF99_23_1"
"99",475,"1MF99",31,1,"1999-04-16 9:59","1MF99 31 1 60BON 1",0,0,1999,4,55.70317,-165.7343,106,152.55199,119,"1MF99_55.70317_-165.7343_1999-04-16 9:59_505",0,112,"4/16/1999",246131,"1MF99_31_1",1.97943,32.08571,"4/16/1999","1MF99_31_1"
"100",476,"1MF99",34,1,"1999-04-16 15:56","1MF99 34 1 60BON 1",0,0,1999,4,55.58733,-166.1058,106,171.71065,126,"1MF99_55.58733_-166.1058_1999-04-16 15:56_505",0,112,"4/16/1999",246131,"1MF99_34_1",2.17835,32.2147,"4/16/1999","1MF99_34_1"
"101",477,"1MF99",39,1,"1999-04-17 15:17","1MF99 39 1 60BON 1",0,0,1999,4,55.8635,-163.3745,107,146.5009,93,"1MF99_55.8635_-163.3745_1999-04-17 15:17_505",0,112,"4/17/1999",246131,"1MF99_39_1",1.43432,31.89066,"4/17/1999","1MF99_39_1"
"103",487,"2DY12",169,1,"2012-05-30 15:36","2DY12 169 1 60BON 1",28.83968,45.77728,2012,5,57.07067,-170.5052,150,131.0694,73,"2DY12_57.07067_-170.5052_2012-05-30 15:36_505",6,429,"5/30/2012",234044,"2DY12_169_1",-0.0334363636363636,31.6596545454545,"5/30/2012","2DY12_169_1"
"104",488,"2DY12",172,1,"2012-05-30 20:21","2DY12 172 1 60BON 1",381.4322,625.29869,2012,5,57.52934,-169.9902,150,134.3358,71,"2DY12_57.52934_-169.9902_2012-05-30 20:21_505",84,429,"5/30/2012",234044,"2DY12_172_1",0.493218181818182,31.5928363636364,"5/30/2012","2DY12_172_1"
"106",491,"DY14-05",15,2,"2014-05-08 12:10","DY14-05 15 2 60BON 1",0,0,2014,5,54.9298,-165.4795,128,239.56946,126,"DY14-05_54.9298_-165.4795_2014-05-08 12:10_505",0,521,"5/8/2014",228355,"DY14-05_15_2",4.87991818181818,31.8149090909091,"5/8/2014","DY14-05_15_2"
"107",500,"2DY12",10,1,"2012-05-17 19:43","2DY12 10 1 60BON 1",0,0,2012,5,56.1465,-166.1552,137,177.18,110,"2DY12_56.1465_-166.1552_2012-05-17 19:43_505",0,429,"5/17/2012",234044,"2DY12_10_1",0.882863636363636,31.7949090909091,"5/17/2012","2DY12_10_1"
"108",501,"DY14-05",22,2,"2014-05-09 17:24","DY14-05 22 2 60BON 1",0,0,2014,5,56.6658,-163.869,129,88.96228,75,"DY14-05_56.6658_-163.869_2014-05-09 17:24_505",0,521,"5/9/2014",228355,"DY14-05_22_2",4.28303636363636,31.7116727272727,"5/9/2014","DY14-05_22_2"
"109",502,"2DY12",5,1,"2012-05-17 10:46","2DY12 5 1 60BON 1",35.18797,37.03996,2012,5,56.46733,-166.9625,137,242.9808,108,"2DY12_56.46733_-166.9625_2012-05-17 10:46_505",9,429,"5/17/2012",234044,"2DY12_5_1",0.00250909090909091,31.5816636363636,"5/17/2012","2DY12_5_1"
"110",504,"3MF06",70,2,"2006-05-16 21:43","3MF06 70 2 60BON 2",0,0,2006,5,56.31717,-162.80667,136,125.7615,80,"3MF06_56.31717_-162.80667_2006-05-16 21:43_505",0,442,"5/16/2006",242629,"3MF06_70_2",2.40325454545455,31.9471090909091,"5/16/2006","3MF06_70_2"
"111",505,"3MF06",78,3,"2006-05-17 14:41","3MF06 78 3 60BON 1",303.36348,722.294,2006,5,56.121,-161.58633,137,81.68419,53,"3MF06_56.121_-161.58633_2006-05-17 14:41_505",59,442,"5/17/2006",242629,"3MF06_78_3",3.13201818181818,31.5094272727273,"5/17/2006","3MF06_78_3"
"112",507,"3MF07",51,1,"2007-04-24 22:13","3MF07 51 1 60BON 1",0,0,2007,4,57.89367,-163.02251,114,52.89832,46,"3MF07_57.89367_-163.02251_2007-04-24 22:13_505",0,446,"4/24/2007",234261,"3MF07_51_1",-1.06816363636364,31.6899272727273,"4/24/2007","3MF07_51_1"
"113",510,"2DY12",182,1,"2012-05-31 12:25","2DY12 182 1 60BON 1",446.51383,731.98989,2012,5,58.20667,-169.702,151,150.2753,72,"2DY12_58.20667_-169.702_2012-05-31 12:25_505",110,429,"5/31/2012",234044,"2DY12_182_1",0.399209090909091,31.6512545454545,"5/31/2012","2DY12_182_1"
"114",511,"2DY12",16,1,"2012-05-18 6:04","2DY12 16 1 60BON 1",0,0,2012,5,55.36934,-165.8888,138,220.3089,122,"2DY12_55.36934_-165.8888_2012-05-18 6:04_505",0,429,"5/18/2012",234044,"2DY12_16_1",2.11623636363636,32.0145454545455,"5/18/2012","2DY12_16_1"
