"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff"
"17",74,"2DY12",89,1,"2012-05-23 6:35","2DY12 89 1 60BON 1",0,0,2012,5,56.682,-161.6287,143,103.9513,89,"2DY12_56.682_-161.6287_2012-05-23 6:35_505",0,429,"2012-05-23",234044,"2DY12_89_1",1.76856363636364,31.4617454545455,"2012-05-23","2DY12_89_1","629",0
"19",77,"2DY12",127,1,"2012-05-26 1:18","2DY12 127 1 60BON 1",1023.91435,875.14047,2012,5,56.449,-167.9343,146,308.5219,127,"2DY12_56.449_-167.9343_2012-05-26 1:18_505",270,429,"2012-05-26",234044,"2DY12_127_1",1.55017272727273,31.7308727272727,"2012-05-26","2DY12_127_1","110",0
"20",78,"2DY12",171,1,"2012-05-30 18:51","2DY12 171 1 60BON 1",0,0,2012,5,57.30867,-169.7748,150,114.2898,56,"2DY12_57.30867_-169.7748_2012-05-30 18:51_505",0,429,"2012-05-30",234044,"2DY12_171_1",0.292963636363636,31.6051454545455,"2012-05-30","2DY12_171_1","1847",0
"21",82,"2DY12",180,1,"2012-05-31 9:39","2DY12 180 1 60BON 1",0,0,2012,5,57.97133,-170.4365,151,191.9696,78,"2DY12_57.97133_-170.4365_2012-05-31 9:39_505",0,429,"2012-05-31",234044,"2DY12_180_1",0.156872727272727,31.7904363636364,"2012-05-31","2DY12_180_1","931",0
"22",83,"2DY12",159,2,"2012-05-29 23:30","2DY12 159 2 60BON 1",650.97422,699.97228,2012,5,56.30067,-170.2053,149,214.2942,114,"2DY12_56.30067_-170.2053_2012-05-29 23:30_505",150,429,"2012-05-29",234044,"2DY12_159_2",1.79239090909091,31.8673818181818,"2012-05-29","2DY12_159_2","2324",0
"23",84,"2DY12",186,1,"2012-05-31 18:11","2DY12 186 1 60BON 1",0,0,2012,5,58.06833,-171.0282,151,153.4556,89,"2DY12_58.06833_-171.0282_2012-05-31 18:11_505",0,429,"2012-05-31",234044,"2DY12_186_1",-0.0321181818181818,31.7837727272727,"2012-05-31","2DY12_186_1","1806",0
"24",85,"2DY12",59,1,"2012-05-20 23:30","2DY12 59 1 60BON 1",181.13679,229.28708,2012,5,55.86666,-163.374,140,126.479,90,"2DY12_55.86666_-163.374_2012-05-20 23:30_505",29,429,"2012-05-20",234044,"2DY12_59_1",2.63074545454545,31.8195545454545,"2012-05-20","2DY12_59_1","2325",0
"25",86,"2DY12",80,2,"2012-05-22 16:58","2DY12 80 2 60BON 1",0,0,2012,5,56.66,-162.6413,142,101.169,76,"2DY12_56.66_-162.6413_2012-05-22 16:58_505",0,429,"2012-05-22",234044,"2DY12_80_2",1.40849090909091,31.0771909090909,"2012-05-22","2DY12_80_2","1654",0
"26",87,"2DY12",82,1,"2012-05-22 20:04","2DY12 82 1 60BON 1",0,0,2012,5,56.22333,-162.1983,142,91.2783,78,"2DY12_56.22333_-162.1983_2012-05-22 20:04_505",0,429,"2012-05-22",234044,"2DY12_82_1",2.23538181818182,31.2583,"2012-05-22","2DY12_82_1","1960",0
"27",88,"2DY12",139,1,"2012-05-27 7:35","2DY12 139 1 60BON 1",0,0,2012,5,57.98466,-169.4705,147,149.4875,70,"2DY12_57.98466_-169.4705_2012-05-27 7:35_505",0,429,"2012-05-27",234044,"2DY12_139_1",-0.317809090909091,31.6913909090909,"2012-05-27","2DY12_139_1","730",0
"28",89,"2DY12",140,1,"2012-05-27 9:01","2DY12 140 1 60BON 1",0,0,2012,5,57.86783,-169.8418,147,138.5516,73,"2DY12_57.86783_-169.8418_2012-05-27 9:01_505",0,429,"2012-05-27",234044,"2DY12_140_1",0.319727272727273,31.5584818181818,"2012-05-27","2DY12_140_1","853",0
"29",91,"2DY12",191,1,"2012-06-01 2:17","2DY12 191 1 60BON 1",25.4784,25.73575,2012,6,57.71217,-172.1202,152,233.1387,109,"2DY12_57.71217_-172.1202_2012-06-01 2:17_505",6,429,"2012-06-01",234044,"2DY12_191_1",0.905927272727273,31.5017818181818,"2012-06-01","2DY12_191_1","212",0
"30",92,"DY14-06",170,1,"2014-06-03 2:13","DY14-06 170 1 60BON 1",0,0,2014,6,56.9495,-170.8672,154,159.51708,103,"DY14-06_56.9495_-170.8672_2014-06-03 2:13_505",0,521,"2014-06-03",228355,"DY14-06_170_1",5.28997272727273,32.0735545454545,"2014-06-03","DY14-06_170_1","213",0
"31",93,"DY14-06",103,1,"2014-05-28 5:51","DY14-06 103 1 60BON 1",0,0,2014,5,56.6027,-165.5917,148,146.96837,80,"DY14-06_56.6027_-165.5917_2014-05-28 5:51_505",0,521,"2014-05-28",228355,"DY14-06_103_1",5.33762727272727,31.8067727272727,"2014-05-28","DY14-06_103_1","551",0
"32",94,"DY14-06",121,1,"2014-05-29 9:54","DY14-06 121 1 60BON 1",0,0,2014,5,57.0453,-166.0402,149,140.46822,73,"DY14-06_57.0453_-166.0402_2014-05-29 9:54_505",0,521,"2014-05-29",228355,"DY14-06_121_1",5.39977272727273,32.0626818181818,"2014-05-29","DY14-06_121_1","954",0
"33",95,"DY14-05",47,2,"2014-05-11 6:44","DY14-05 47 2 60BON 1",0,0,2014,5,58.0395,-169.6802,131,118.89627,70,"DY14-05_58.0395_-169.6802_2014-05-11 6:44_505",0,521,"2014-05-11",228355,"DY14-05_47_2",2.73805454545455,32.3281181818182,"2014-05-11","DY14-05_47_2","644",0
"34",97,"DY14-06",162,1,"2014-06-02 13:32","DY14-06 162 1 60BON 2",0,0,2014,6,57.3283,-168.7978,153,131.40236,74,"DY14-06_57.3283_-168.7978_2014-06-02 13:32_505",0,521,"2014-06-02",228355,"DY14-06_162_1",4.81866363636364,32.2462545454545,"2014-06-02","DY14-06_162_1","1332",0
"35",103,"5MF05",32,2,"2005-05-13 17:08","5MF05 32 2 60BON 2",8.46655,18.01393,2005,5,56.92433,-159.83949,133,55.5126,56,"5MF05_56.92433_-159.83949_2005-05-13 17:08_505",1,283,"2005-05-13",249168,"5MF05_32_2",3.92909,31.77542,"2005-05-13","5MF05_32_2","1702",0
"36",104,"5MF05",35,2,"2005-05-14 0:15","5MF05 35 2 60BON 1",80.14614,140.60725,2005,5,57.04117,-160.45117,134,49.78406,66,"5MF05_57.04117_-160.45117_2005-05-14 0:15_505",7,283,"2005-05-14",249168,"5MF05_35_2",4.19353636363636,31.8948818181818,"2005-05-14","5MF05_35_2","11",0
"37",105,"5MF05",43,2,"2005-05-14 19:03","5MF05 43 2 60BON 1",117.49108,195.81847,2005,5,56.4655,-161.4155,134,97.02864,69,"5MF05_56.4655_-161.4155_2005-05-14 19:03_505",19,283,"2005-05-14",249168,"5MF05_43_2",5.22144,31.84544,"2005-05-14","5MF05_43_2","1858",0
"38",106,"5MF05",59,3,"2005-05-16 6:14","5MF05 59 3 60BON 1",233.71145,285.01397,2005,5,55.87083,-163.3725,136,105.258,90,"5MF05_55.87083_-163.3725_2005-05-16 6:14_505",30,283,"2005-05-16",249168,"5MF05_59_3",6.4746,31.89856,"2005-05-16","5MF05_59_3","610",0
"39",109,"5MF05",98,2,"2005-05-18 7:31","5MF05 98 2 60BON 1",14.37959,13.56565,2005,5,55.48617,-165.52049,138,147.43117,115,"5MF05_55.48617_-165.52049_2005-05-18 7:31_505",2,283,"2005-05-18",249168,"5MF05_98_2",5.41525,32.09611,"2005-05-18","5MF05_98_2","726",0
"46",149,"1MF99",10,1,"1999-04-14 17:28","1MF99 10 1 60BON 1",0,0,1999,4,56.18083,-164.1872,104,120.51318,92,"1MF99_56.18083_-164.1872_1999-04-14 17:28_505",0,112,"1999-04-14",246131,"1MF99_10_1",1.20136666666667,31.9810888888889,"1999-04-14","1MF99_10_1","1728",0
"47",150,"1MF99",22,1,"1999-04-15 19:28","1MF99 22 1 60BON 1",12.63279,13.88219,1999,4,55.72633,-164.7475,105,144.06953,98,"1MF99_55.72633_-164.7475_1999-04-15 19:28_505",2,112,"1999-04-15",246131,"1MF99_22_1",1.68312,32.04776,"1999-04-15","1MF99_22_1","1928",0
"48",153,"1MF99",45,1,"1999-04-18 0:34","1MF99 45 1 60BON 1",0,0,1999,4,57.0175,-164.21401,108,133.06911,70,"1MF99_57.0175_-164.21401_1999-04-18 0:34_505",0,112,"1999-04-18",246131,"1MF99_45_1",-0.43599,31.88852,"1999-04-18","1MF99_45_1","34",0
"49",154,"1MF99",9,1,"1999-04-14 15:58","1MF99 9 1 60BON 1",0,0,1999,4,55.96233,-163.97321,104,130.05446,95,"1MF99_55.96233_-163.97321_1999-04-14 15:58_505",0,112,"1999-04-14",246131,"1MF99_9_1",1.44075555555556,31.9894333333333,"1999-04-14","1MF99_9_1","1558",0
"50",205,"1DY12",61,1,"2012-05-05 10:29","1DY12 61 1 60BON 1",0,0,2012,5,55.58617,-166.108,125,283.5305,124,"1DY12_55.58617_-166.108_2012-05-05 10:29_505",0,429,"2012-05-05",234044,"1DY12_61_1",1.75144545454545,31.9962,"2012-05-05","1DY12_61_1","1029",0
"51",206,"1DY12",65,2,"2012-05-08 11:31","1DY12 65 2 60BON 1",0,0,2012,5,56.93283,-163.8393,128,154.7353,70,"1DY12_56.93283_-163.8393_2012-05-08 11:31_505",0,429,"2012-05-08",234044,"1DY12_65_2",-0.863145454545455,31.2020090909091,"2012-05-08","1DY12_65_2","1131",0
"52",209,"1DY12",67,2,"2012-05-08 23:36","1DY12 67 2 60BON 1",0,0,2012,5,56.76717,-164.3328,128,127.1196,74,"1DY12_56.76717_-164.3328_2012-05-08 23:36_505",0,429,"2012-05-08",234044,"1DY12_67_2",-0.947445454545455,30.8840181818182,"2012-05-08","1DY12_67_2","1322",0
"53",216,"DY13-05",8,2,"2013-05-03 10:15","DY13-05 8 2 60BON 1",14.15422,10.88786,2013,5,54.4223,-165.1483,123,367.38152,138,"DY13-05_54.4223_-165.1483_2013-05-03 10:15_500",4,63,"2013-05-03",234526,"DY13-05_8_2",3.46593636363636,31.8120090909091,"2013-05-03","DY13-05_8_2","1001",0
"59",236,"DY14-06",212,1,"2014-06-05 17:18","DY14-06 212 1 60BON 1",0,0,2014,6,58.2695,-172.2102,156,194.17715,103,"DY14-06_58.2695_-172.2102_2014-06-05 17:18_505",0,521,"2014-06-05",228355,"DY14-06_212_1",4.0128,31.3232818181818,"2014-06-05","DY14-06_212_1","1718",0
"60",237,"DY14-06",89,1,"2014-05-27 7:05","DY14-06 89 1 60BON 1",0,0,2014,5,57.359,-161.2687,147,63.60021,63,"DY14-06_57.359_-161.2687_2014-05-27 7:05_505",0,521,"2014-05-27",228355,"DY14-06_89_1",4.82824545454545,31.9498181818182,"2014-05-27","DY14-06_89_1","705",0
"63",240,"DY14-06",33,1,"2014-05-23 14:12","DY14-06 33 1 60BON 1",92.00385,109.5284,2014,5,55.2845,-164.3242,143,155.21089,96,"DY14-06_55.2845_-164.3242_2014-05-23 14:12_505",17,521,"2014-05-23",228355,"DY14-06_33_1",6.35352727272727,31.4739454545455,"2014-05-23","DY14-06_33_1","1412",0
"64",241,"DY14-06",98,2,"2014-05-27 21:45","DY14-06 98 2 60BON 1",0,0,2014,5,56.9603,-164.4597,147,142.82665,70,"DY14-06_56.9603_-164.4597_2014-05-27 21:45_505",0,521,"2014-05-27",228355,"DY14-06_98_2",4.9243,32.0718454545455,"2014-05-27","DY14-06_98_2","2145",0
"67",247,"1TT06",93,2,"2006-05-08 3:11","1TT06 93 2 60BON 1",0,0,2006,5,57.7685,-169.0455,128,92.99815,67,"1TT06_57.7685_-169.0455_2006-05-08 3:11_333",0,442,"2006-05-08",242629,"1TT06_93_2",-0.818763636363636,31.7877363636364,"2006-05-08","1TT06_93_2","311",0
"68",249,"DY15-04",22,2,"2015-05-01 8:43","DY15-04 22 2 60BON 1",0,0,2015,5,56.7645,-164.3337,121,121.832,74,"DY15-04_56.7645_-164.3337_2015-05-01 8:43_505",0,160,"2015-05-01",221437,"DY15-04_22_2",3.97283636363636,31.8054,"2015-05-01","DY15-04_22_2","843",0
"69",254,"4MF03",36,2,"2003-05-21 0:23","4MF03 36 2 60BON 1",5.91953,8.22157,2003,5,56.341,-161.81467,141,243.26242,82,"4MF03_56.341_-161.81467_2003-05-21 0:23_505",2,125,"2003-05-21",255366,"4MF03_36_2",4.95533,31.55413,"2003-05-21","4MF03_36_2","23",0
"70",259,"4MF03",54,2,"2003-05-23 18:00","4MF03 54 2 60BON 1",113.46739,105.0624,2003,5,55.27333,-165.29834,143,180.84491,114,"4MF03_55.27333_-165.29834_2003-05-23 18:00_505",19,125,"2003-05-23",255366,"4MF03_54_2",5.54584,31.57464,"2003-05-23","4MF03_54_2","1800",0
"72",270,"1DY11",5,2,"2011-05-21 11:37","1DY11 5 2 60BON 1",0,0,2011,5,60.09884,-173.31267,141,154.0036,73,"1DY11_60.09884_-173.31267_2011-05-21 11:37_333",0,208,"2011-05-21",232110,"1DY11_5_2",-0.628054545454545,30.6339909090909,"2011-05-21","1DY11_5_2","437",0
"73",291,"1TT06",8,2,"2006-04-17 5:36","1TT06 8 2 60BON 1",0,0,2006,4,57.349,-164.24899,107,114.09073,66,"1TT06_57.349_-164.24899_2006-04-17 5:36_333",0,442,"2006-04-17",242629,"1TT06_8_2",-0.1826,31.7172363636364,"2006-04-17","1TT06_8_2","536",0
"76",299,"1TT06",25,2,"2006-04-21 16:17","1TT06 25 2 60BON 1",0,0,2006,4,57.86967,-169.93716,111,128.68907,74,"1TT06_57.86967_-169.93716_2006-04-21 16:17_333",0,442,"2006-04-21",242629,"1TT06_25_2",-1.29652727272727,31.6877363636364,"2006-04-21","1TT06_25_2","1617",0
"77",300,"1TT06",73,2,"2006-05-02 12:06","1TT06 73 2 60BON 1",0,0,2006,5,59.613,-177.20033,122,224.94725,184,"1TT06_59.613_-177.20033_2006-05-02 12:06_333",0,442,"2006-05-02",242629,"1TT06_73_2",-1.11473636363636,32.3796181818182,"2006-05-02","1TT06_73_2","1206",0
"80",322,"2DY10",18,3,"2010-05-08 4:13","2DY10 18 3 60BON 2",8.81225,6.24982,2010,5,54.32683,-165.41066,128,320.009,149,"2DY10_54.32683_-165.41066_2010-05-08 4:13_500",2,370,"2010-05-08",227957,"2DY10_18_3",3.73803636363636,32.1075181818182,"2010-05-08","2DY10_18_3","413",0
"86",338,"2DY10",82,3,"2010-05-15 16:06","2DY10 82 3 60BON 2",52.93688,41.35694,2010,5,56.17484,-170.58833,135,217.61765,134,"2DY10_56.17484_-170.58833_2010-05-15 16:06_500",9,370,"2010-05-15",227957,"2DY10_82_3",1.93079090909091,31.66,"2010-05-15","2DY10_82_3","1606",0
"89",345,"3MF06",27,2,"2006-05-12 16:10","3MF06 27 2 60BON 1",0,0,2006,5,55.00983,-167.03967,132,198.20656,159,"3MF06_55.00983_-167.03967_2006-05-12 16:10_505",0,442,"2006-05-12",242629,"3MF06_27_2",3.62930909090909,32.3949727272727,"2006-05-12","3MF06_27_2","1610",0
"90",350,"5MF00",19,3,"2000-05-07 9:14","5MF00 19 3 60BON 1",0,0,2000,5,57.0485,-170.13817,127,96.04493,64,"5MF00_57.0485_-170.13817_2000-05-07 9:14_333",0,54,"2000-05-07",248451,"5MF00_19_3",1.2658,32.3210714285714,"2000-05-07","5MF00_19_3","914",0
"91",352,"6MF97",63,2,"1997-05-11 8:19","6MF97 63 2 60BON 1",6.96065,5.31348,1997,5,54.422,-165.15134,131,188.20075,141,"6MF97_54.422_-165.15134_1997-05-11 8:19_333",1,132,"1997-05-11",247943,"6MF97_63_2",3.54339166666667,32.0459333333333,"1997-05-11","6MF97_63_2","819",0
"92",353,"6MF97",71,2,"1997-05-12 7:47","6MF97 71 2 60BON 1",6.93412,3.64954,1997,5,55.4345,-168.06334,132,274.00748,200,"6MF97_55.4345_-168.06334_1997-05-12 7:47_333",1,132,"1997-05-12",247943,"6MF97_71_2",4.32448333333333,32.4216166666667,"1997-05-12","6MF97_71_2","747",0
"93",371,"4MF07",28,2,"2007-05-11 6:39","4MF07 28 2 60BON 1",7.53857,5.38469,2007,5,56.3095,-169.27133,131,185.71169,150,"4MF07_56.3095_-169.27133_2007-05-11 6:39_505",1,446,"2007-05-11",234261,"4MF07_28_2",2.51070909090909,31.8960636363636,"2007-05-11","4MF07_28_2","633",0
"95",374,"6MF97",19,2,"1997-05-06 9:54","6MF97 19 2 60BON 1",71.60496,68.85092,1997,5,56.20183,-166.504,126,174.2896,114,"6MF97_56.20183_-166.504_1997-05-06 9:54_333",12,132,"1997-05-06",247943,"6MF97_19_2",3.22865833333333,32.0243416666667,"1997-05-06","6MF97_19_2","954",0
"96",381,"4MF07",65,2,"2007-05-14 21:36","4MF07 65 2 60BON 1",803.243,750.69439,2007,5,56.92933,-171.81233,134,145.1989,115,"4MF07_56.92933_-171.81233_2007-05-14 21:36_505",109,446,"2007-05-14",234261,"4MF07_65_2",2.40576363636364,32.2647636363636,"2007-05-14","4MF07_65_2","2127",0
"99",395,"4MF07",43,2,"2007-05-12 16:11","4MF07 43 2 60BON 1",1778.2177,2043.92839,2007,5,56.62634,-170.06683,132,112.03915,97,"4MF07_56.62634_-170.06683_2007-05-12 16:11_505",229,446,"2007-05-12",234261,"4MF07_43_2",1.96516363636364,32.0795636363636,"2007-05-12","4MF07_43_2","1607",0
"105",450,"5MF05",34,2,"2005-05-13 22:18","5MF05 34 2 60BON 1",0,0,2005,5,57.25683,-160.66766,133,56.30211,60,"5MF05_57.25683_-160.66766_2005-05-13 22:18_505",0,283,"2005-05-13",249168,"5MF05_34_2",3.75612727272727,31.9380181818182,"2005-05-13","5MF05_34_2","2214",0
"107",474,"1MF99",23,1,"1999-04-15 21:07","1MF99 23 1 60BON 1",0,0,1999,4,55.94783,-164.96671,105,165.53174,98,"1MF99_55.94783_-164.96671_1999-04-15 21:07_505",0,112,"1999-04-15",246131,"1MF99_23_1",1.12354,32.00554,"1999-04-15","1MF99_23_1","2107",0
"108",475,"1MF99",31,1,"1999-04-16 9:59","1MF99 31 1 60BON 1",7.47286,6.55514,1999,4,55.70317,-165.7343,106,152.55199,119,"1MF99_55.70317_-165.7343_1999-04-16 9:59_505",1,112,"1999-04-16",246131,"1MF99_31_1",1.97943,32.08571,"1999-04-16","1MF99_31_1","959",0
"109",476,"1MF99",34,1,"1999-04-16 15:56","1MF99 34 1 60BON 1",0,0,1999,4,55.58733,-166.1058,106,171.71065,126,"1MF99_55.58733_-166.1058_1999-04-16 15:56_505",0,112,"1999-04-16",246131,"1MF99_34_1",2.17835,32.2147,"1999-04-16","1MF99_34_1","1556",0
"110",477,"1MF99",39,1,"1999-04-17 15:17","1MF99 39 1 60BON 1",6.00679,6.8259,1999,4,55.8635,-163.3745,107,146.5009,93,"1MF99_55.8635_-163.3745_1999-04-17 15:17_505",1,112,"1999-04-17",246131,"1MF99_39_1",1.43432,31.89066,"1999-04-17","1MF99_39_1","1517",0
"111",484,"2MF98",24,1,"1998-04-11 22:57","2MF98 24 1 60BON 1",0,0,1998,4,54.811,-165.8597,101,263.67853,168,"2MF98_54.811_-165.8597_1998-04-11 22:57_505",0,16,"1998-04-11",244951,"2MF98_24_1",3.31157272727273,32.0653363636364,"1998-04-11","2MF98_24_1","2250",0
"112",487,"2DY12",169,1,"2012-05-30 15:36","2DY12 169 1 60BON 1",24.03307,38.14773,2012,5,57.07067,-170.5052,150,131.0694,73,"2DY12_57.07067_-170.5052_2012-05-30 15:36_505",5,429,"2012-05-30",234044,"2DY12_169_1",-0.0334363636363636,31.6596545454545,"2012-05-30","2DY12_169_1","1532",0
"113",488,"2DY12",172,1,"2012-05-30 20:21","2DY12 172 1 60BON 1",0,0,2012,5,57.52934,-169.9902,150,134.3358,71,"2DY12_57.52934_-169.9902_2012-05-30 20:21_505",0,429,"2012-05-30",234044,"2DY12_172_1",0.493218181818182,31.5928363636364,"2012-05-30","2DY12_172_1","2017",0
"114",491,"DY14-05",15,2,"2014-05-08 12:10","DY14-05 15 2 60BON 1",14.52606,12.52246,2014,5,54.9298,-165.4795,128,239.56946,126,"DY14-05_54.9298_-165.4795_2014-05-08 12:10_505",3,521,"2014-05-08",228355,"DY14-05_15_2",4.87991818181818,31.8149090909091,"2014-05-08","DY14-05_15_2","1210",0
"115",500,"2DY12",10,1,"2012-05-17 19:43","2DY12 10 1 60BON 1",3154.98363,3154.98363,2012,5,56.1465,-166.1552,137,177.18,110,"2DY12_56.1465_-166.1552_2012-05-17 19:43_505",559,429,"2012-05-17",234044,"2DY12_10_1",0.882863636363636,31.7949090909091,"2012-05-17","2DY12_10_1","1936",0
"116",501,"DY14-05",22,2,"2014-05-09 17:24","DY14-05 22 2 60BON 1",21.9194,33.72216,2014,5,56.6658,-163.869,129,88.96228,75,"DY14-05_56.6658_-163.869_2014-05-09 17:24_505",3,521,"2014-05-09",228355,"DY14-05_22_2",4.28303636363636,31.7116727272727,"2014-05-09","DY14-05_22_2","1724",0
"117",502,"2DY12",5,1,"2012-05-17 10:46","2DY12 5 1 60BON 1",66.46616,69.96438,2012,5,56.46733,-166.9625,137,242.9808,108,"2DY12_56.46733_-166.9625_2012-05-17 10:46_505",17,429,"2012-05-17",234044,"2DY12_5_1",0.00250909090909091,31.5816636363636,"2012-05-17","2DY12_5_1","1035",0
"118",504,"3MF06",70,2,"2006-05-16 21:43","3MF06 70 2 60BON 2",2021.12729,2846.65816,2006,5,56.31717,-162.80667,136,125.7615,80,"3MF06_56.31717_-162.80667_2006-05-16 21:43_505",358,442,"2006-05-16",242629,"3MF06_70_2",2.40325454545455,31.9471090909091,"2006-05-16","3MF06_70_2","2143",0
"119",510,"2DY12",182,1,"2012-05-31 12:25","2DY12 182 1 60BON 1",0,0,2012,5,58.20667,-169.702,151,150.2753,72,"2DY12_58.20667_-169.702_2012-05-31 12:25_505",0,429,"2012-05-31",234044,"2DY12_182_1",0.399209090909091,31.6512545454545,"2012-05-31","2DY12_182_1","1221",0
"120",511,"2DY12",16,1,"2012-05-18 6:04","2DY12 16 1 60BON 1",5.08377,4.53908,2012,5,55.36934,-165.8888,138,220.3089,122,"2DY12_55.36934_-165.8888_2012-05-18 6:04_505",1,429,"2012-05-18",234044,"2DY12_16_1",2.11623636363636,32.0145454545455,"2012-05-18","2DY12_16_1","556",0
"121",512,"2DY12",54,2,"2012-05-20 15:39","2DY12 54 2 60BON 1",647.02169,761.20198,2012,5,55.74883,-163.7617,140,89.3324,95,"2DY12_55.74883_-163.7617_2012-05-20 15:39_505",68,429,"2012-05-20",234044,"2DY12_54_2",2.36972727272727,31.9106,"2012-05-20","2DY12_54_2","1534",0
"122",522,"2DY12",115,1,"2012-05-25 5:54","2DY12 115 1 60BON 1",0,0,2012,5,56.82767,-165.8208,145,152.5192,77,"2DY12_56.82767_-165.8208_2012-05-25 5:54_505",0,429,"2012-05-25",234044,"2DY12_115_1",0.868463636363636,31.1521363636364,"2012-05-25","2DY12_115_1","550",0
"123",523,"2DY12",19,1,"2012-05-18 11:01","2DY12 19 1 60BON 1",55.18905,52.06514,2012,5,55.049,-165.0897,138,211.2738,113,"2DY12_55.049_-165.0897_2012-05-18 11:01_505",11,429,"2012-05-18",234044,"2DY12_19_1",2.33447272727273,32.0335090909091,"2012-05-18","2DY12_19_1","1054",0
"124",524,"DY14-05",92,2,"2014-05-16 3:16","DY14-05 92 2 60BON 1",11.48357,11.36987,2014,5,54.0738,-166.6177,136,175.90353,107,"DY14-05_54.0738_-166.6177_2014-05-16 3:16_505",2,521,"2014-05-16",228355,"DY14-05_92_2",6.05777272727273,32.4234,"2014-05-16","DY14-05_92_2","316",0
"125",525,"DY14-06",187,1,"2014-06-04 3:18","DY14-06 187 1 60BON 1",4.77065,7.57246,2014,6,57.7472,-170.2212,155,132.05742,73,"DY14-06_57.7472_-170.2212_2014-06-04 3:18_505",1,521,"2014-06-04",228355,"DY14-06_187_1",4.26074545454545,31.9870818181818,"2014-06-04","DY14-06_187_1","318",0
